Posting Date,Canceled,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Ref. No.,Item No.,Item/Service Description,Quantity,UoM Code,Price,Row Total
17.11.2022,N,UVS0002,SEAWAVES FROZEN FOOD PTE LTD,482191,SOT001,SEAFOOD- SOTONG BALL 36's (SEAWAVES) 12x780gm/pkt,60,Manual,8.6,516
17.11.2022,N,UVS0034,SIN MUI HENG FOOD INDUSTRIES,24447,OPC001,OTHER- CHICKEN WITH PANDAN LEAF 50nos/ctns,10,Manual,35,350
17.11.2022,N,UVT0004,TIONG LIAN FOOD PTE LTD,22-022851,PHES02,PORK- PIG MASK WITH MEAT - BIG (TL / JMS) 5PCS/CTNS,100,Manual,3.5,350
17.11.2022,N,UVC0011,CHIP HONG FARM PRODUCT,2211/08214,PLIV03,PORK LIVER (HK SCAN) 10kg/ctn,"1,600.00",Manual,2.3,"3,680.00"
17.11.2022,N,UVL0013,LIM SIANG HUAT PTE LTD,3496894,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,600,Manual,3.9,"2,340.00"
17.11.2022,N,UVT0021,T&L INDUSTRIES PTE LTD,108407,FRS005,FISH- RED SNAPPER FISH,2,Manual,17,34
17.11.2022,Y,UVJ0005,JORDON INTERNATIONAL FOOD PROCESSING P/L,22190637,OSA002,OTHER- TAIWAN SAUSAGE 10pcs 500gm+-/pkt 40pkt/ctns,600,Manual,4.7,"2,820.00"
17.11.2022,C,UVJ0005,JORDON INTERNATIONAL FOOD PROCESSING P/L,22190637,OSA002,OTHER- TAIWAN SAUSAGE 10pcs 500gm+-/pkt 40pkt/ctns,600,Manual,4.7,"2,820.00"
17.11.2022,N,UVJ0001,JCS SHRIMPS PTE LTD,20220020939,SVA0011,SEAFOOD- VANNAMEI HOSO 16-20pcs 6x2pkt/ctn,60,Manual,9.8,588
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1041,SVA004-04,SEAFOOD- VANNAMEI HOSO COOKED 26-30 10X1pkt/ctn (AA-MESTI),400,Manual,12.5,"5,000.00"
17.11.2022,N,UVI0005,INTEROCEAN FOODS PTE LTD,22-18388,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),997.17,Manual,7.8,"7,777.93"
17.11.2022,N,UVT0006,THE SEAFOOD COMPANY PTE LTD,293415,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,100,Manual,19,"1,900.00"
17.11.2022,N,UVT0006,THE SEAFOOD COMPANY PTE LTD,293415,FSN001-03,FISH- TOMAN FILLET 300/500,150.7,Manual,8.2,"1,235.74"
17.11.2022,N,UVK0018,KIDA FOOD TRADING PTE LTD,133321,FTN002,FISH- FRESH TUNA (INDONESIA MAGURO),8.46,Manual,22,186.12
17.11.2022,N,UVS0005,SONG FISH DEALER PTE LTD,22113657,FRG004,FISH- RED GORLY 6-8pcs 2kgX5pkt,30,Manual,2.8,84
17.11.2022,N,UVS0005,SONG FISH DEALER PTE LTD,22113657,FBA006-01,FISH- BATANG STEAK 3-5 5KGX2PKT,100,Manual,6.5,650
17.11.2022,N,UVQ0005,QUALITY MEAT PTE LTD,22-038892,CWIN05-01,CHICKEN WING 120-140gm (SEARA) 15kg/ctn,16,Manual,30,480
17.11.2022,N,UVJ0005,JORDON INTERNATIONAL FOOD PROCESSING P/L,22190637,OSA002,OTHER- TAIWAN SAUSAGE 10pcs 500gm+-/pkt 40pkt/ctns,600,Manual,4.7,"2,820.00"
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,SCA007-03,SEAFOOD- BOILED SEA SCALLOP MEAT 120/150 10X1KG/CTNS,300,Manual,8.5,"2,550.00"
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,OAB002,OTHER- ABALONE SLICED 300gmX40pkt (TAIWAN),"1,200.00",Manual,1.9,"2,280.00"
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,OBA001,OTHER- LOBSTER BALL (FIGO) 500gm/pkt,600,Manual,3.04,"1,821.00"
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,OFC005,OTHER- THAI FISH CAKE FIGO 500gm/pkt x 20pkt/ctns,100,Manual,2.6,260
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,OTO007,OTHER- OTAK FISH 180GM (100pkt/ctn),300,Manual,2.3,690
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,SVA004-06,SEAFOOD- VANNAMEI HOSO COOKED 41-50 10X1pkt/ctn (AA-MESTI),200,Manual,10.33,"2,066.00"
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,ODU016,OTHER- FISH & SOY ROLL 10S 300GMX30PKT/CTNS,90,Manual,1.54,138.9
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,SVA009-04,SEAFOOD- VANNAMEI HOSO 26-30pcs 10X1KG - G54,200,Manual,8.37,"1,674.00"
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,OTO001,OTHER- CHEESE TOFU FIGO (500gm x 20pkt),600,Manual,3.04,"1,821.00"
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,OTO004,OTHER- SEAFOOD TOFU FIGO (500gm x 20pkt),400,Manual,3.04,"1,214.00"
17.11.2022,N,UVF0021,FARMFOOD TRADING PTE LTD,1018,OTO004-02,OTHER- EN CHEESE SHRIMP FIGO (500gm x 20pkt),60,Manual,3.3,198
17.11.2022,N,UVS0058,SUNRISE FOOD PTE LTD,22/809705,SAUCE-01,SAUCE DARK SOYA 5L/TIN,5,Manual,11.5,57.5
