No,Item No.,Item Description,Foreign Name,In Stock,Qty Ordered by Customers,Item Cost,Last Purchase Price,Last Purchase Date,Country of Origin,Inventory Value,Inventory Item,Item Group,Set G/L Accounts By
98,BLIG01,BEEF LIGAMENTUM AUS 25KG,???,0,0,0,1,18.09.2019,,0,Yes,BEEF,Item Group
99,BLO001,BEEF- LEG OF BEEF WITHOUT GOLDEN COIN-MONDELI,,98.24,0,0,6.2,04.05.2023,,0,Yes,BEEF,Item Group
100,BLS001,BEEF- BEEF LASAGNA 450gmX15pkt(FROZEN),,0,0,0,5.5,16.09.2016,,0,Yes,BEEF,Item Group
101,BLU001,BEEF LUNG,??,130.11,0,0,1.8,10.05.2023,,0,Yes,BEEF,Item Group
102,BLU002,BEEF LUNG 700gmX18pkt,?? 700gm,0,0,0,0.5,17.12.2015,,0,Yes,BEEF,Item Group
103,BLU003,BEEF LUNG 300gmX20pkt,?? 300gm,0,0,0,1.3,12.06.2016,,0,Yes,BEEF,Item Group
104,BLU004,BEEF LUNG CUT,???,0,0,0,2.3,19.09.2016,,0,Yes,BEEF,Item Group
105,BMB001,BEEF MARROW BONE AMG-AUST,??,50.67,0,0,2.1,13.06.2023,,0,Yes,BEEF,Item Group
106,BMB002,BEEF MARROW BONE CUT 2 INCH,??? 2 ?,197,340,0,2.1,06.06.2023,,0,Yes,BEEF,Item Group
107,BMB003,"BEEF MARROW BONE ,, HALF CUT - AUST",JOHN DEE,0,0,0,8.8,16.04.2020,,0,Yes,BEEF,Item Group
108,BMI001,BEEF- MINCED BEEF WAGYU 1kg/pkt,?? ??? 1kg/?,0,0,0,8,07.09.2021,,0,Yes,BEEF,Item Group
109,BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,???,458,6,0,5.7,10.06.2023,,0,Yes,BEEF,Item Group
110,BMI003,BEEF- TRIMMING MINCED BEEF,?? ??,0,0,0,6,27.03.2023,,0,Yes,BEEF,Item Group
111,BMI003-02,BEEF- MINCED BEEF 500GM/PKT [HALAL],??? 500GM,0,0,0,4.5,08.04.2022,,0,Yes,BEEF,Item Group
