#,Document Number,Posting Date,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Name,Document Currency,Check Amount,Transfer Amount,Cash Amount,Reference 1,Reference 2,Counter Reference,Remarks,Journal Remarks,Journal Remarks
51,361324,03.01.2023,UCL0045,LEE FOOD PTE LTD,LEE FOOD PTE LTD,SGD,0,0,"3,165.00",36-1324,,,31/12 22245030,31/12 22245030,31/12 22245030
52,361325,03.01.2023,UCC0008,CASH,CASH,SGD,0,0,86,36-1325,,,31-Dec,31-Dec,31-Dec
53,361326,03.01.2023,UCS0259,SHU WEI YUAN,SHU WEI YUAN,SGD,0,0,95.4,36-1326,,,31-Dec,31-Dec,31-Dec
54,361327,03.01.2023,UCL0185,LOYANG WAY BIG PRAWN NOODLES PTE LTD,LOYANG WAY BIG PRAWN NOODLES PTE LTD,SGD,0,0,41,36-1327,,,31-Dec,31-Dec,31-Dec
55,361328,03.01.2023,UCF0061,FU YUAN CUISINE SQUARE ?????,FU YUAN CUISINE SQUARE ?????,SGD,0,0,90.7,36-1328,,,31-Dec,31-Dec,31-Dec
56,361329,03.01.2023,UCH0024,HOKIEN MIAN,HOKIEN MIAN,SGD,0,0,80.2,36-1329,,,31-Dec,31-Dec,31-Dec
57,361330,03.01.2023,UCY0144,YAN XIA CHUAN TONG MIAN JIA,YAN XIA CHUAN TONG MIAN JIA,SGD,0,0,211.3,36-1330,,,31/12 22244872,31/12 22244872,31/12 22244872
58,361331,03.01.2023,UCM0186,MA BO (FRIED FISH) LOR MEE PTE.LTD,MA BO (FRIED FISH) LOR MEE PTE.LTD,SGD,0,0,91.5,36-1331,,,31/12 22244829,31/12 22244829,31/12 22244829
59,361332,03.01.2023,UCM0288,MR CHIANGTHIN KHOW,MR CHIANGTHIN KHOW,SGD,0,0,137,36-1332,,,31-Dec,31-Dec,31-Dec
60,361333,03.01.2023,UCH0241,HK MONG KOK KUI JI KITCHEN,HK MONG KOK KUI JI KITCHEN,SGD,0,0,69.5,36-1333,,,31-Dec,31-Dec,31-Dec
61,361334,03.01.2023,UCD0049,DONG FANG DUCK RICE,DONG FANG DUCK RICE,SGD,0,0,37.4,36-1334,,,31-Dec,31-Dec,31-Dec
