#,Document Number,Posting Date,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Name,Document Currency,Check Amount,Transfer Amount,Cash Amount,Reference 1,Reference 2,Counter Reference,Remarks,Journal Remarks,Journal Remarks
13121,378690,22.06.2023,UCM0186,MA BO (FRIED FISH) LOR MEE PTE.LTD,MA BO (FRIED FISH) LOR MEE PTE.LTD,SGD,0,0,92.3,37-8690,,,21/6 23167374,21/6 23167374,21/6 23167374
13122,378691,21.06.2023,UCB0044,BSM CUISINE PTE LTD (TOH GUAN),BSM CUISINE PTE LTD (TOH GUAN),SGD,0,"2,424.70",0,37-8691,,,MAY B.TRANS,MAY B.TRANS,MAY B.TRANS
13123,378692,22.06.2023,UCY0144,YAN XIA CHUAN TONG MIAN JIA,YAN XIA CHUAN TONG MIAN JIA,SGD,0,0,52.4,37-8692,,,21/6 23167663,21/6 23167663,21/6 23167663
13124,378693,22.06.2023,UCC0195,CHI MING CHANG CHENG,CHI MING CHANG CHENG,SGD,0,0,134.3,37-8693,,,21-Jun,21-Jun,21-Jun
13125,378694,21.06.2023,UCB0117,BSM CUISINE PTE LTD,BSM CUISINE PTE LTD,SGD,0,523.15,0,37-8694,,,MAY B.TRANS,MAY B.TRANS,MAY B.TRANS
13126,378695,22.06.2023,UCM0130,MA BO (FRIED FISH) LOR MEE PTE.LTD,MA BO (FRIED FISH) LOR MEE PTE.LTD,SGD,0,0,84.2,37-8695,,,21/6 23167637,21/6 23167637,21/6 23167637
13127,378696,22.06.2023,UCP0029,PHAN NEE TRADING LLP,PHAN NEE TRADING LLP,SGD,0,0,615.4,37-8696,,,21/6 23167688,21/6 23167688,21/6 23167688
13128,378697,22.06.2023,UCD0023,DSW FROZEN FOOD PTE LTD,DSW FROZEN FOOD PTE LTD,SGD,0,0,243,37-8697,,,21-Jun,21-Jun,21-Jun
13129,378698,22.06.2023,UCS0000,STAFF OF UNICO,STAFF OF UNICO,SGD,0,0,86.4,37-8698,,,21-Jun,21-Jun,21-Jun
13130,378699,22.06.2023,UCG0105,GOLDEN LEAF BRAISED DELIGHT/ KWAY CHAP,GOLDEN LEAF BRAISED DELIGHT/ KWAY CHAP,SGD,0,0,147.5,37-8699,,,21-Jun,21-Jun,21-Jun
13131,378700,21.06.2023,USVS0020,UNICO TOTAL SOLUTION PTE LTD,UNICO TOTAL SOLUTION PTE LTD,SGD,0,"11,016.00",0,37-8700,,,MAY B.TRANS,MAY B.TRANS,MAY B.TRANS
13132,378701,22.06.2023,UCA0121,AH LIM JALAN TUA KONG (64 JOOCHIAT),AH LIM JALAN TUA KONG (64 JOOCHIAT),SGD,0,0,88,37-8701,,,21-Jun,21-Jun,21-Jun
13133,378702,22.06.2023,UCA0121,AH LIM JALAN TUA KONG (64 JOOCHIAT),AH LIM JALAN TUA KONG (64 JOOCHIAT),SGD,0,0,15,37-8702,,,21-Jun,21-Jun,21-Jun
13134,378703,21.06.2023,ucf0182,FOK LOK KEE PTE LTD,FOK LOK KEE PTE LTD,SGD,0,"3,337.65",0,37-8703,,,APR B.TRANS,APR B.TRANS,APR B.TRANS
13135,378704,22.06.2023,UCC0080,CASH (RAY),CASH (RAY),SGD,0,0,73,37-8704,,,21-Jun,21-Jun,21-Jun
13136,378705,22.06.2023,UCC0169,CASH (ML),CASH (ML),SGD,0,0,108,37-8705,,,21-Jun,21-Jun,21-Jun
13137,378706,22.06.2023,UCC0169,CASH (ML),CASH (ML),SGD,0,0,103.1,37-8706,,,21-Jun,21-Jun,21-Jun
13138,378707,22.06.2023,UCR0095,RONG YUAN MIX VEG RICE,RONG YUAN MIX VEG RICE,SGD,0,0,166.3,37-8707,,,21-Jun,21-Jun,21-Jun
13139,378708,21.06.2023,UCL0181,108 BIG PRAWN NOODLES PTE LTD,108 BIG PRAWN NOODLES PTE LTD,SGD,0,86.4,0,37-8708,,,21/6 B.TRANS 23167666,21/6 B.TRANS 23167666,21/6 B.TRANS 23167666
13140,378710,22.06.2023,UCJ0062,JING DIN XIANG (AMK),JING DIN XIANG (AMK),SGD,0,0,110.1,37-8710,,,21-Jun,21-Jun,21-Jun
13141,378711,22.06.2023,UCC0178,CASH (GUI ),CASH (GUI ),SGD,0,0,126.3,37-8711,,,21-Jun,21-Jun,21-Jun
13142,378712,22.06.2023,UCD0035,DING XIANG YUAN PTE LTD,DING XIANG YUAN PTE LTD,SGD,0,0,220.3,37-8712,,,21/6 23167734,21/6 23167734,21/6 23167734
13143,378713,22.06.2023,UCZ0074,ZHONG HUA MEI SHI,ZHONG HUA MEI SHI,SGD,0,0,162.5,37-8713,,,21/6 23167735,21/6 23167735,21/6 23167735
13144,378714,22.06.2023,UCF0215,FORTUNE HERBAL SPUP,FORTUNE HERBAL SPUP,SGD,0,0,204,37-8714,,,21/6 23167408,21/6 23167408,21/6 23167408
13145,378715,22.06.2023,UCT0221,TIAN FA LU MIEN,TIAN FA LU MIEN,SGD,0,0,21.6,37-8715,,,21-Jun,21-Jun,21-Jun
13146,378716,22.06.2023,UCL0159,NIAN QIHUI,NIAN QIHUI,SGD,0,0,44.2,37-8716,,,21-Jun,21-Jun,21-Jun
13147,378717,22.06.2023,UCS0110,SUN FLOWER TINKLELAND PTE LTD,SUN FLOWER TINKLELAND PTE LTD,SGD,0,0,142.6,37-8717,,,21-Jun,21-Jun,21-Jun
13148,378718,21.06.2023,UCC9999,CASH (SHIYUN),CASH (SHIYUN),SGD,0,"1,761.90",0,37-8718,,,"14/6-19/6 B.TRANS 23165990,5506,6758,6472,6759,7701","14/6-19/6 B.TRANS 23165990,5506,6758,6472,6759,770","14/6-19/6 B.TRANS 23165990,5506,6758,6472,6759,770"
13149,378719,22.06.2023,UCM0187,MA BO (FRIED FISH) LOR MEE PTE.LTD,MA BO (FRIED FISH) LOR MEE PTE.LTD,SGD,0,0,84.2,37-8719,,,21/6 23166962,21/6 23166962,21/6 23166962
13150,378720,21.06.2023,UCB0004,ZHU JIA(MANDAI LINK),ZHU JIA(MANDAI LINK),SGD,0,712.8,0,37-8720,,,10/6 B.TRANS 23163263,10/6 B.TRANS 23163263,10/6 B.TRANS 23163263
13151,378721,22.06.2023,UCF0034,FISH SOUP (UBI),FISH SOUP (UBI),SGD,0,0,96.3,37-8721,,,21-Jun,21-Jun,21-Jun
13152,375657,20.05.2023,UCH0137,HOUGANG 309 WESTERN FOOD,HOUGANG 309 WESTERN FOOD,SGD,0,146.66,0,37-5657,,,19/5 B.TRANS 23154010,19/5 B.TRANS 23154010,19/5 B.TRANS 23154010
13153,375658,20.05.2023,UCG0110,GUANG SHI CHANG FEN,GUANG SHI CHANG FEN,SGD,0,38.34,0,37-5658,,,18/5 B.TRANS 23153419,18/5 B.TRANS 23153419,18/5 B.TRANS 23153419
13154,375659,20.05.2023,UCH0030,HENRY DINING PTE LTD,HENRY DINING PTE LTD,SGD,0,"2,213.01",0,37-5659,,,APR B.TRANS,APR B.TRANS,APR B.TRANS
13155,375660,20.05.2023,UCY0053,YUNXIN PTE LTD,YUNXIN PTE LTD,SGD,0,"7,074.28",0,37-5660,,,APR B.TRANS,APR B.TRANS,APR B.TRANS
13156,375661,20.05.2023,UCZ0287,HAPPY TIMES INTERNATIONAL,HAPPY TIMES INTERNATIONAL,SGD,0,244.52,0,37-5661,,,20/5 B.TRANS 23154348,20/5 B.TRANS 23154348,20/5 B.TRANS 23154348
13157,375662,20.05.2023,UCH0269,HAO ZHOU DAO,HAO ZHOU DAO,SGD,0,"2,183.80",0,37-5662,,,APR B.TRANS,APR B.TRANS,APR B.TRANS
13158,375663,20.05.2023,UCJ0062,JING DIN XIANG (AMK),JING DIN XIANG (AMK),SGD,0,95,0,37-5663,,,20/5 B.TRANS 23154315,20/5 B.TRANS 23154315,20/5 B.TRANS 23154315
13159,375664,20.05.2023,UCC9999,CASH (SHIYUN),CASH (SHIYUN),SGD,0,95.71,0,37-5664,,,"20/5 B.TRANS 23154510,4536","20/5 B.TRANS 23154510,4536","20/5 B.TRANS 23154510,4536"
13160,375665,20.05.2023,UCG0104,GRANDFATHER FOOD EMPIRE BAK CHOR MEE,GRANDFATHER FOOD EMPIRE BAK CHOR MEE,SGD,0,108,0,37-5665,,,20/5 B.TRANS 23154205,20/5 B.TRANS 23154205,20/5 B.TRANS 23154205
13161,375666,20.05.2023,UCS0000,STAFF OF UNICO,STAFF OF UNICO,SGD,0,30.56,0,37-5666,,,20/5 B.TRANS 23154673,20/5 B.TRANS 23154673,20/5 B.TRANS 23154673
13162,375668,20.05.2023,UCS0230,SUPER TOP RESTAURANT PTE LTD,SUPER TOP RESTAURANT PTE LTD,SGD,0,426.06,0,37-5668,,,EXTRA PAID,EXTRA PAID,EXTRA PAID
13163,375669,20.05.2023,UCT0127,T&L INDUSTRIES PTE LTD,T&L INDUSTRIES PTE LTD,SGD,0,"25,000.00",0,37-5669,,,MAR B.TRANS,MAR B.TRANS,MAR B.TRANS
13164,375670,22.05.2023,UCA0108,AMS SUPERMART PTE LTD,AMS SUPERMART PTE LTD,SGD,0,54.43,0,37-5670,,,12/4-17/5 B.TRANS,12/4-17/5 B.TRANS,12/4-17/5 B.TRANS
13165,375671,22.05.2023,UCM0311,309 MOOKATA,309 MOOKATA,SGD,0,113.18,0,37-5671,,,19/5 B.TRANS 23153987,19/5 B.TRANS 23153987,19/5 B.TRANS 23153987
13166,375672,22.05.2023,UCN0100,NASI LEMAK SEDAP,NASI LEMAK SEDAP,SGD,0,184.9,0,37-5672,,,20/5 B.TRANS 23154488,20/5 B.TRANS 23154488,20/5 B.TRANS 23154488
13167,375673,22.05.2023,UCY0064,YI RESTAURANT LLP,YI RESTAURANT LLP,SGD,0,223.56,0,37-5673,,,EXTRA PAID,EXTRA PAID,EXTRA PAID
13168,375674,22.05.2023,UCH0137,HOUGANG 309 WESTERN FOOD,HOUGANG 309 WESTERN FOOD,SGD,0,174.2,0,37-5674,,,20/5 B.TRANS 2315442,20/5 B.TRANS 2315442,20/5 B.TRANS 2315442
13169,375675,22.05.2023,UCS0000,STAFF OF UNICO,STAFF OF UNICO,SGD,0,65,0,37-5675,,,21/5 B.TRANS 23154966,21/5 B.TRANS 23154966,21/5 B.TRANS 23154966
13170,375676,22.05.2023,UCT0150,BBQ GRILL & STEAMBOAT BUFFET,BBQ GRILL & STEAMBOAT BUFFET,SGD,0,36.72,0,37-5676,,,20/5 B.TRANS 23154338,20/5 B.TRANS 23154338,20/5 B.TRANS 23154338
13171,375677,22.05.2023,UCL0198,LIN YU MEI PRIVATE LIMITED,LIN YU MEI PRIVATE LIMITED,SGD,0,828.55,0,37-5677,,,APR B.TRANS,APR B.TRANS,APR B.TRANS
13172,375678,22.05.2023,UCL0197,LIN YU MEI,LIN YU MEI,SGD,0,"1,452.39",0,37-5678,,,APR B.TRANS,APR B.TRANS,APR B.TRANS
13173,375679,22.05.2023,UCL0200,LING SARAWAK KOLO MEE PTE LTD,LING SARAWAK KOLO MEE PTE LTD,SGD,0,"1,358.12",0,37-5679,,,APR B.TRANS,APR B.TRANS,APR B.TRANS
13174,375680,22.05.2023,UCK0059,KAO WESTERN KALLANG,KAO WESTERN KALLANG,SGD,0,25.17,0,37-5680,,,17/5-21/5 B.TRANS,17/5-21/5 B.TRANS,17/5-21/5 B.TRANS
13175,375681,22.05.2023,UCK0059,KAO WESTERN KALLANG,KAO WESTERN KALLANG,SGD,0,95.69,0,37-5681,,,17/5-21/5 B.TRNS,17/5-21/5 B.TRNS,17/5-21/5 B.TRNS
13176,375682,22.05.2023,UCL0012,LINK COURT PTE LTD (MARINA),LINK COURT PTE LTD (MARINA),SGD,0,"6,830.30",0,37-5682,,,MAR B.TRANS,MAR B.TRANS,MAR B.TRANS
13177,375683,22.05.2023,UCZ0106,ZHU JIA,ZHU JIA,SGD,0,77.76,0,37-5683,,,19/5 B.TRANS 23153985,19/5 B.TRANS 23153985,19/5 B.TRANS 23153985
13178,375684,22.05.2023,UCL0145,LONG ISLAND INTERNATIONAL PTE LTD,LONG ISLAND INTERNATIONAL PTE LTD,SGD,0,86.94,0,37-5684,,,20/5 B.TRANS 23154446,20/5 B.TRANS 23154446,20/5 B.TRANS 23154446
13179,375685,22.05.2023,UCC9999,CASH (SHIYUN),CASH (SHIYUN),SGD,0,291.61,0,37-5685,,,21/5 B.TRANS 23154914,21/5 B.TRANS 23154914,21/5 B.TRANS 23154914
13180,375686,22.05.2023,UCT0299,TAN BOON HAN IVAN,TAN BOON HAN IVAN,SGD,0,81.54,0,37-5686,,,19/5 B.TRANS 23153774,19/5 B.TRANS 23153774,19/5 B.TRANS 23153774
13181,375687,22.05.2023,UCY0064,YI RESTAURANT LLP,YI RESTAURANT LLP,SGD,0,192.24,0,37-5687,,,21/5 B.TRANS 23154790,21/5 B.TRANS 23154790,21/5 B.TRANS 23154790
13182,375688,22.05.2023,UCC0189,CEST LA VIE KITCHEN PTE LTD,CEST LA VIE KITCHEN PTE LTD,SGD,0,412.35,0,37-5688,,,20/5-21/5 B.TRANS,20/5-21/5 B.TRANS,20/5-21/5 B.TRANS
13183,375689,22.05.2023,UCN0108,NOONA KOREAN KITCHEN,NOONA KOREAN KITCHEN,SGD,0,691.24,0,37-5689,,,12/5 B.TRANS 23150961,12/5 B.TRANS 23150961,12/5 B.TRANS 23150961
13184,375690,22.05.2023,UCN0121,NOONA KOREAN KITCHEN,NOONA KOREAN KITCHEN,SGD,0,912.04,0,37-5690,,,11/5-14/5 B.TRANS,11/5-14/5 B.TRANS,11/5-14/5 B.TRANS
13185,375691,22.05.2023,UCG0063,GOLDEN ISLAND FOOD PTE LTD,GOLDEN ISLAND FOOD PTE LTD,SGD,0,181.44,0,37-5691,,,APR B.TRANS,APR B.TRANS,APR B.TRANS
13186,375692,22.05.2023,UCI0031,I-TEC SUERPMART PTE LTD (305 JLN BESAR),I-TEC SUERPMART PTE LTD (305 JLN BESAR),SGD,0,757.34,0,37-5692,,,FEB B.TRANS,FEB B.TRANS,FEB B.TRANS
13187,375693,22.05.2023,UCT0269,TONG FU JU PTE LTD,TONG FU JU PTE LTD,SGD,0,195.91,0,37-5693,,,13/5 B.TRANS 23151528,13/5 B.TRANS 23151528,13/5 B.TRANS 23151528
13188,375694,22.05.2023,UCM0298,MR YAN QIAILONG,MR YAN QIAILONG,SGD,0,43.2,0,37-5694,,,13/5 B.TRANS 23151607,13/5 B.TRANS 23151607,13/5 B.TRANS 23151607
13189,375695,22.05.2023,UCS0000,STAFF OF UNICO,STAFF OF UNICO,SGD,0,16.85,0,37-5695,,,18/5 B.TRANS 23153834,18/5 B.TRANS 23153834,18/5 B.TRANS 23153834
13190,375696,22.05.2023,UCT0243,THAI NOODLE HOUSE,THAI NOODLE HOUSE,SGD,144.72,0,0,37-5696,,,16/5 (927902) 23152604,16/5 (927902) 23152604,16/5 (927902) 23152604
13191,375697,22.05.2023,UCD0024,DING WEI FANG LLP (BUKIT BATOK?,DING WEI FANG LLP (BUKIT BATOK?,SGD,"7,267.00",0,0,37-5697,,,MAR-APR (207),MAR-APR (207),MAR-APR (207)
13192,375698,22.05.2023,UCM0109,MUA HIN POULTRY FARM PTE LTD,MUA HIN POULTRY FARM PTE LTD,SGD,"3,499.20",0,0,37-5698,,,APR (11517),APR (11517),APR (11517)
13193,375699,22.05.2023,UCJ0141,JIA XIANG F&B PTE LTD,JIA XIANG F&B PTE LTD,SGD,"4,794.01",0,0,37-5699,,,APR (533),APR (533),APR (533)
13194,375700,22.05.2023,UCS0329,SIX SIX HOTPOT PTE LTD,SIX SIX HOTPOT PTE LTD,SGD,596.16,0,0,37-5700,,,APR (67241),APR (67241),APR (67241)
13195,375701,22.05.2023,UCN0025,NORTHEAST GOURMET PTE LTD,NORTHEAST GOURMET PTE LTD,SGD,"17,978.01",0,0,37-5701,,,APR (995),APR (995),APR (995)
13196,375702,22.05.2023,UCS0190,S.H. FOOD SERVICES PTE LTD,S.H. FOOD SERVICES PTE LTD,SGD,"20,970.76",0,0,37-5702,,,28/3-13/4 (67225),28/3-13/4 (67225),28/3-13/4 (67225)
13197,375703,22.05.2023,UCK0101,KUAI LE LAO JIA,KUAI LE LAO JIA,SGD,"3,285.61",0,0,37-5703,,,APR (1822),APR (1822),APR (1822)
13198,375704,22.05.2023,UCY0077,YECHUN XIAO JIANG NAN,YECHUN XIAO JIANG NAN,SGD,858.39,0,0,37-5704,,,MAR-APR (3878),MAR-APR (3878),MAR-APR (3878)
13199,375705,18.05.2023,UCG0072,AA LA MIAN - FISH SOUP,AA LA MIAN - FISH SOUP,SGD,0,64.26,0,37-5705,,,18/5 B.TRANS 23153449,18/5 B.TRANS 23153449,18/5 B.TRANS 23153449
13200,375706,22.05.2023,UCG0072,AA LA MIAN - FISH SOUP,AA LA MIAN - FISH SOUP,SGD,0,69.01,0,37-5706,,,21/5 B.TRANS 23154727,21/5 B.TRANS 23154727,21/5 B.TRANS 23154727
13201,375708,23.05.2023,UCK0051,KEE (GZ 6262),KEE (GZ 6262),SGD,0,0,43.2,37-5708,,,22-May,22-May,22-May
13202,375709,23.05.2023,UCC0777,CASH ( LIANG ),CASH ( LIANG ),SGD,0,0,296.3,37-5709,,,21-May,21-May,21-May
13203,375710,23.05.2023,UCR0050,HUP SOON RICE & PORRIDGE,HUP SOON RICE & PORRIDGE,SGD,0,0,736.8,37-5710,,,19-20/5,19-20/5,19-20/5
13204,375711,23.05.2023,UCZ0074,ZHONG HUA MEI SHI,ZHONG HUA MEI SHI,SGD,0,0,31.6,37-5711,,,16/5 CN$52.6,16/5 CN$52.6,16/5 CN$52.6
13205,375712,23.05.2023,UCD0035,DING XIANG YUAN PTE LTD,DING XIANG YUAN PTE LTD,SGD,0,0,217.6,37-5712,,,8/5 CN$40.02,8/5 CN$40.02,8/5 CN$40.02
13206,375713,23.05.2023,UCK0123,KIAN TECK EATING HOUSE,KIAN TECK EATING HOUSE,SGD,0,0,441.7,37-5713,,,11-19/5,11-19/5,11-19/5
13207,375714,23.05.2023,UCC0777,CASH ( LIANG ),CASH ( LIANG ),SGD,0,0,508.7,37-5714,,,22-May,22-May,22-May
13208,375715,23.05.2023,UCY0119,YAN JI HONG KONG KITCHEN,YAN JI HONG KONG KITCHEN,SGD,0,0,144,37-5715,,,8-May,8-May,8-May
13209,375716,23.05.2023,UCY0119,YAN JI HONG KONG KITCHEN,YAN JI HONG KONG KITCHEN,SGD,0,0,48,37-5716,,,9-May,9-May,9-May
13210,375718,23.05.2023,UCC0178,CASH (GUI ),CASH (GUI ),SGD,0,0,47.7,37-5718,,,21/5 CN$23.45,21/5 CN$23.45,21/5 CN$23.45
13211,375719,23.05.2023,UCT0178,THE 6IXS FNB PTE LTD,THE 6IXS FNB PTE LTD,SGD,0,0,496.8,37-5719,,,21-May,21-May,21-May
13212,375720,23.05.2023,UCM0279,YUN HAI FOOD PTE LTD,YUN HAI FOOD PTE LTD,SGD,0,0,254,37-5720,,,20-May,20-May,20-May
13213,375721,23.05.2023,UCJ0172,XI LAI BAO (????,XI LAI BAO (????,SGD,0,0,28,37-5721,,,20-May,20-May,20-May
13214,375722,23.05.2023,UCM0338,MA LA XIANG GUO,MA LA XIANG GUO,SGD,0,0,200.9,37-5722,,,22-May,22-May,22-May
13215,375723,23.05.2023,UCB0060,BEDOK PRAWN NOODLE,BEDOK PRAWN NOODLE,SGD,0,0,109,37-5723,,,22-May,22-May,22-May
13216,375724,23.05.2023,UCS0046,SONG JI MIXED VEGTABLES RICE,SONG JI MIXED VEGTABLES RICE,SGD,0,0,208.9,37-5724,,,22-May,22-May,22-May
13217,375725,23.05.2023,UCL0045,LEE FOOD PTE LTD,LEE FOOD PTE LTD,SGD,0,0,"2,414.80",37-5725,,,22/5 23155229,22/5 23155229,22/5 23155229
13218,375726,23.05.2023,UCY0144,YAN XIA CHUAN TONG MIAN JIA,YAN XIA CHUAN TONG MIAN JIA,SGD,0,0,72.9,37-5726,,,22-May,22-May,22-May
13219,375727,23.05.2023,UCC0144,EVER DRAGON FAMILY RESTAURANT(24 BENDEMEER) ????,EVER DRAGON FAMILY RESTAURANT(24 BENDEMEER) ????,SGD,0,0,141.9,37-5727,,,22-May,22-May,22-May
13220,375728,23.05.2023,UCX0188,XIN AO MALA BAY PTE LTD,XIN AO MALA BAY PTE LTD,SGD,0,0,376.6,37-5728,,,22-May,22-May,22-May
13221,375729,23.05.2023,UCD0056,DA HU YIU SHAO KAO,DA HU YIU SHAO KAO,SGD,0,0,129.6,37-5729,,,22-May,22-May,22-May
13222,375730,23.05.2023,UCD0031,DONG BEI REN JIA,DONG BEI REN JIA,SGD,0,0,91.8,37-5730,,,22-May,22-May,22-May
13223,375731,23.05.2023,UCH0274,HONG YONG BAN MIAN FISH SOUP,HONG YONG BAN MIAN FISH SOUP,SGD,0,0,123,37-5731,,,22-May,22-May,22-May
13224,375732,23.05.2023,UCP0029,PHAN NEE TRADING LLP,PHAN NEE TRADING LLP,SGD,0,0,390.5,37-5732,,,22-May,22-May,22-May
13225,375733,23.05.2023,UCB0001,BAK KUT TEH?CLAYPOT DELIGHT,BAK KUT TEH?CLAYPOT DELIGHT,SGD,0,0,112.9,37-5733,,,17-18/4,17-18/4,17-18/4
13226,375734,23.05.2023,UCC0169,CASH (ML),CASH (ML),SGD,0,0,118.8,37-5734,,,22-May,22-May,22-May
13227,375735,23.05.2023,UCA0121,AH LIM JALAN TUA KONG (64 JOOCHIAT),AH LIM JALAN TUA KONG (64 JOOCHIAT),SGD,0,0,88,37-5735,,,22-May,22-May,22-May
13228,375736,23.05.2023,UCR0095,RONG YUAN MIX VEG RICE,RONG YUAN MIX VEG RICE,SGD,0,0,17.2,37-5736,,,22-May,22-May,22-May
13229,375737,23.05.2023,UCR0095,RONG YUAN MIX VEG RICE,RONG YUAN MIX VEG RICE,SGD,0,0,173.9,37-5737,,,22-May,22-May,22-May
13230,375738,23.05.2023,UCX0200,XIN WANG FU XING BAN MIAN,XIN WANG FU XING BAN MIAN,SGD,0,0,117.2,37-5738,,,22-May,22-May,22-May
13231,375739,23.05.2023,UCT0086,TENAGA MINI MART,TENAGA MINI MART,SGD,0,0,77.75,37-5739,,,22-May,22-May,22-May
13232,375740,23.05.2023,UCG0111,GREEDY DUCK PTE LTD,GREEDY DUCK PTE LTD,SGD,0,0,74,37-5740,,,22-May,22-May,22-May
13233,375741,23.05.2023,UCS0272,SHAN XI LIANG PI F&B PTE LTD,SHAN XI LIANG PI F&B PTE LTD,SGD,0,0,53,37-5741,,,22-May,22-May,22-May
13234,375742,23.05.2023,UCF0191,FRESH PICK SUPERMARKET,FRESH PICK SUPERMARKET,SGD,0,0,211.7,37-5742,,,18-May,18-May,18-May
13235,375743,23.05.2023,UCF0036,FENG ZHEN LOR MEE,FENG ZHEN LOR MEE,SGD,0,0,298,37-5743,,,22-May,22-May,22-May
13236,375744,23.05.2023,UCC0219,CASH (IRIS),CASH (IRIS),SGD,0,0,66.9,37-5744,,,22-May,22-May,22-May
13237,375745,23.05.2023,UCD0035,DING XIANG YUAN PTE LTD,DING XIANG YUAN PTE LTD,SGD,0,0,213.9,37-5745,,,22-May,22-May,22-May
13238,375746,23.05.2023,UCZ0074,ZHONG HUA MEI SHI,ZHONG HUA MEI SHI,SGD,0,0,47.8,37-5746,,,22-May,22-May,22-May
13239,375747,23.05.2023,UCR0087,RAFIDAH BINTE OMAR,RAFIDAH BINTE OMAR,SGD,0,0,61.5,37-5747,,,22-May,22-May,22-May
13240,375748,23.05.2023,UCD0035,DING XIANG YUAN PTE LTD,DING XIANG YUAN PTE LTD,SGD,0,0,32.4,37-5748,,,22-May,22-May,22-May
13241,375749,23.05.2023,UCG0090,GRINDELWALD SUPERMARKET,GRINDELWALD SUPERMARKET,SGD,0,0,141.5,37-5749,,,22-May,22-May,22-May
13242,375750,23.05.2023,UCF0215,FORTUNE HERBAL SPUP,FORTUNE HERBAL SPUP,SGD,0,0,184.6,37-5750,,,22-May,22-May,22-May
13243,375751,23.05.2023,UCF0125,FISH SOUP (HOUGANG),FISH SOUP (HOUGANG),SGD,0,0,51.8,37-5751,,,22-May,22-May,22-May
13244,375752,23.05.2023,UCX0076,WESTERN FOOD (SERANGOON),WESTERN FOOD (SERANGOON),SGD,0,0,123.6,37-5752,,,20-May,20-May,20-May
13245,375753,23.05.2023,UCH0169,HAI XIAN ZHI JIA,HAI XIAN ZHI JIA,SGD,0,0,103.7,37-5753,,,22-May,22-May,22-May
13246,375754,23.05.2023,UCM0182,MA JI SHOU GONG BAO DIAN,MA JI SHOU GONG BAO DIAN,SGD,0,0,157.9,37-5754,,,22/5 23155082,22/5 23155082,22/5 23155082
13247,375755,23.05.2023,UCL0159,NIAN QIHUI,NIAN QIHUI,SGD,0,0,104.7,37-5755,,,22-May,22-May,22-May
13248,379128,27.06.2023,UCY0144,YAN XIA CHUAN TONG MIAN JIA,YAN XIA CHUAN TONG MIAN JIA,SGD,0,0,85.6,37-9128,,,26-Jun,26-Jun,26-Jun
13249,379129,27.06.2023,UCM0186,MA BO (FRIED FISH) LOR MEE PTE.LTD,MA BO (FRIED FISH) LOR MEE PTE.LTD,SGD,0,0,92.3,37-9129,,,26-Jun,26-Jun,26-Jun
13250,379130,27.06.2023,UCC0144,EVER DRAGON FAMILY RESTAURANT(24 BENDEMEER) ????,EVER DRAGON FAMILY RESTAURANT(24 BENDEMEER) ????,SGD,0,0,8.2,37-9130,,,26-Jun,26-Jun,26-Jun
13251,379131,27.06.2023,UCH0290,HAPPY FOOD,HAPPY FOOD,SGD,0,0,54.4,37-9131,,,26-Jun,26-Jun,26-Jun
13252,379132,27.06.2023,UCB0001,BAK KUT TEH?CLAYPOT DELIGHT,BAK KUT TEH?CLAYPOT DELIGHT,SGD,0,0,215,37-9132,,,15-22/5,15-22/5,15-22/5
13253,379133,27.06.2023,UCR0095,RONG YUAN MIX VEG RICE,RONG YUAN MIX VEG RICE,SGD,0,0,131.8,37-9133,,,26-Jun,26-Jun,26-Jun
13254,379134,27.06.2023,UCR0095,RONG YUAN MIX VEG RICE,RONG YUAN MIX VEG RICE,SGD,0,0,22.6,37-9134,,,26-Jun,26-Jun,26-Jun
13255,379135,27.06.2023,UCA0121,AH LIM JALAN TUA KONG (64 JOOCHIAT),AH LIM JALAN TUA KONG (64 JOOCHIAT),SGD,0,0,15,37-9135,,,26-Jun,26-Jun,26-Jun
13256,379136,27.06.2023,UCA0121,AH LIM JALAN TUA KONG (64 JOOCHIAT),AH LIM JALAN TUA KONG (64 JOOCHIAT),SGD,0,0,88,37-9136,,,26-Jun,26-Jun,26-Jun
13257,379137,27.06.2023,UCT0096,TAI HENG HANDMAKE DUM SUM,TAI HENG HANDMAKE DUM SUM,SGD,0,0,81.6,37-9137,,,26-Jun,26-Jun,26-Jun
13258,379138,27.06.2023,UCF0334,BOON LAY HO HUAT,BOON LAY HO HUAT,SGD,0,0,61.5,37-9138,,,26-Jun,26-Jun,26-Jun
13259,379139,27.06.2023,UCF0224,FAIR SUPERMART,FAIR SUPERMART,SGD,0,0,221,37-9139,,,26-Jun,26-Jun,26-Jun
13260,379140,27.06.2023,UCF0105,FISHBALL NOODLES (BEDOK),FISHBALL NOODLES (BEDOK),SGD,0,0,100.5,37-9140,,,26-Jun,26-Jun,26-Jun
13261,379141,27.06.2023,UCU0033,U MART HAO GUAN MINIMART,U MART HAO GUAN MINIMART,SGD,0,0,131.2,37-9141,,,26-Jun,26-Jun,26-Jun
13262,379142,27.06.2023,UCJ0062,JING DIN XIANG (AMK),JING DIN XIANG (AMK),SGD,0,0,102.3,37-9142,,,26-Jun,26-Jun,26-Jun
13263,379143,27.06.2023,UCA0066,ANGEL SUPERMARKET (AMK),ANGEL SUPERMARKET (AMK),SGD,0,0,385.2,37-9143,,,26/6 23170098,26/6 23170098,26/6 23170098
