No,Document Number,Document Type,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
781,5850,I,07.11.2022,PSOF02,PORK SOFTBONE CUT A 5KG/PKT,95,3.9,370.5
782,5850,I,07.11.2022,PTAI01-02,PORK TAIL CUT CUBE A,60,6,360
783,5854,I,08.11.2022,PRIB08,PORK RIBLETS CUT 2-2 1/2' 5kgX2pkt,270,4.5,"1,215.00"
784,5854,I,08.11.2022,PRIB07,PORK RIBLETS CUT 2 INCH 5KGX2PKT/CTNS,100,4.5,450
785,5854,I,08.11.2022,PRIB05,PORK RIBLETS CUBE 5KGX2PKT/CTNS,110,2.5,275
786,5854,I,08.11.2022,PM-05,PORK MINCED CHILL FRESH,112,3.5,392
787,5854,I,08.11.2022,PCOS04-02,PORK COLLAR CUT PCS,100,4.3,430
788,5854,I,08.11.2022,PRIB05,PORK RIBLETS CUBE 5KGX2PKT/CTNS,900,2.5,"2,250.00"
789,5854,I,08.11.2022,POCU01,PORK OIL CUBE 5kg/pkt,"2,045.00",2.3,"4,703.50"
790,5854,I,08.11.2022,PBEL10,PORK BELLY CUBE _ 01 2Kgx10Pkt,130,5.3,689
791,5854,I,08.11.2022,CCUB04,CHICKEN CUBE 2KGX6PKT/CTNS,800,4.3,"3,440.00"
792,5855,I,09.11.2022,PRIB07,PORK RIBLETS CUT 2 INCH 5KGX2PKT/CTNS,350,4.5,"1,575.00"
793,5855,I,09.11.2022,PRIB05,PORK RIBLETS CUBE 5KGX2PKT/CTNS,135,2.5,337.5
794,5855,I,09.11.2022,BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,926,8.3,"7,685.80"
795,5855,I,09.11.2022,BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,128,4.5,576
796,5855,I,09.11.2022,PCOS04-02,PORK COLLAR CUT PCS,100,4.3,430
797,5855,I,09.11.2022,BMS003,BEEF MEAT SLICED 2-3MM 2kgX5pkt,876,8.3,"7,270.80"
798,5855,I,09.11.2022,PTAI01-02,PORK TAIL CUT CUBE A,30,6,180
799,5847,I,10.11.2022,CFEE01,CHICKEN- FRIED CHICKEN FEET 1kgX10pkt,"5,677.00",3.6,"20,437.20"
800,5851,I,10.11.2022,PM-01,PORK- MINCED PORK 6X2KG/CTNS,"1,500.00",3.3,"4,950.00"
801,5851,I,10.11.2022,PFAT03-02,PORK FAT CUT EXTRA SMALL CUBE 2kg/pkt,255,2.3,586.5
802,5851,I,10.11.2022,PLES09,PORK LEG CUT EXTRA SMALL CUBE (SIEW MAI) 2kg/pkt,250,2.6,650
803,5851,I,10.11.2022,BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,243,5,"1,215.00"
804,5851,I,10.11.2022,PLOI10,PORK LOIN MINCED / TRIMMING,218.62,2.5,546.55
805,5851,I,10.11.2022,BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,214,8.3,"1,776.20"
806,5851,I,10.11.2022,CSLI01-03,CHICKEN SLICED 8mm 2kgX6pkt,190,4.2,798
807,5851,I,10.11.2022,PCHI01,PORK CHITTERING (ICP) 10kg/ctn,160,4.9,784
808,5851,I,10.11.2022,PCOS04-078,PORK COLLAR CUT 1.2CM,144,4.4,633.6
809,5851,I,10.11.2022,CSLI02-05,CHICKEN SLICED W/O SKIN 1CM 2kgX5pkt,140,6.2,868
810,5851,I,10.11.2022,PRIB05,PORK RIBLETS CUBE 5KGX2PKT/CTNS,140,2.5,350
811,5851,I,10.11.2022,CFEE04,HOUSE BRAND:FRIED CHICKEN FEET (UF) 400GMX10PKT,90,2,180
812,5851,I,10.11.2022,PCOS04-02,PORK COLLAR CUT PCS,125,4.3,537.5
813,5851,I,10.11.2022,PLEG09-02,PORK LEG CUT 1.5INCH  X 1.5INCH,120,3.2,384
814,5851,I,10.11.2022,PBEL21-09,PORK BELLY CUT 2' X 1',112.05,5.3,593.87
815,5851,I,10.11.2022,PRIB06,PORK- SPARERIB CUT 1 '' X 1 '' 5KGX2PKT/CTNS,110,5.5,605
