No,Document Number,Document Type,Canceled,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
316,5731,I,N,11.11.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),229.3,5.38,"1,233.63"
317,5731,I,N,11.11.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),49.05,7.8,382.59
318,5731,I,N,11.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,252,4,"1,008.00"
319,5731,I,N,11.11.2022,PBEL05-21,PORK BELLY PAMPLONA (SINGLE-BRAZIL),386.54,4.7,"1,816.74"
320,5731,I,N,11.11.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 1*,288,4.7,"1,353.60"
321,5731,I,N,11.11.2022,PBEL05-21,PORK BELLY PAMPLONA (SINGLE-BRAZIL),438.58,4.7,"2,061.33"
322,5731,I,N,11.11.2022,PFER02,PORK HUMEROUSBONES 10KG/CTNS,"1,310.00",1.05,"1,375.50"
323,5731,I,N,11.11.2022,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,125,4.03,503.75
324,5731,I,N,11.11.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,144,4.09,588.96
325,5731,I,N,11.11.2022,PBEL05-21,PORK BELLY PAMPLONA (SINGLE-BRAZIL),438.58,4.7,"2,061.33"
326,5732,I,N,12.11.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,540,3.44,"1,857.60"
327,5732,I,N,12.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,60,4,240
328,5732,I,N,12.11.2022,PHOC05,PORK FRONT HOCK OLYMEL-CANADA 15KG/CTNS,210,2.35,493.5
329,5732,I,N,12.11.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,"1,596.00",4.09,"6,527.64"
330,5732,I,N,12.11.2022,PBEL05-21,PORK BELLY PAMPLONA (SINGLE-BRAZIL),"1,087.59",4.7,"5,111.67"
331,5703,I,N,25.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),171.22,5.35,916.03
332,5703,I,N,25.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,875,3.13,"2,738.75"
333,5703,I,N,25.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,84,4.1,344.4
334,5703,I,N,25.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,410,3.63,"1,488.30"
335,5703,I,N,25.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,920,2.4,"2,208.00"
336,5703,I,N,25.10.2022,PHOC05-04,PORK FRONT HOCK(BOSELER-GERMANY) 10kg/ctn,80,2.13,170.4
337,5703,I,N,25.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,96,4,384
338,5703,I,N,25.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,"1,530.00",3.45,"5,278.50"
339,5703,I,N,25.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),730.68,7.8,"5,699.30"
340,5703,I,N,25.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,90,3.63,326.7
341,5703,I,N,25.10.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 1*,576,4.95,"2,851.20"
342,5703,I,N,25.10.2022,PBEL05-03,PORK BELLY DALIA,679.84,4.5,"3,059.28"
343,5703,I,N,25.10.2022,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,25,4.03,100.75
344,5728,I,N,13.11.2022,BSF001,BEEF- BEEF STIR FRY  (SADIA) 200GM X 20PKT,50,2.34,117
345,5676,I,N,10.10.2022,PM-01,PORK- MINCED PORK 6X2KG/CTNS,"1,320.00",3.3,"4,356.00"
346,5676,I,N,10.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,300,3.13,939
347,5676,I,N,10.10.2022,PTRI02,PORK TRIMMING FRESH,230,3,690
348,5676,I,N,10.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,102,4.19,427.38
349,5676,I,N,10.10.2022,PLEG03,PORK LEG (ALEGRA-SA),717.45,2.95,"2,116.48"
350,5676,I,N,10.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,850,3.13,"2,660.50"
351,5676,I,N,10.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,100,4,400
352,5676,I,N,10.10.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,42,46.76,"1,963.92"
353,5676,I,N,10.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),214.51,5.35,"1,147.63"
354,5676,I,N,10.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,875,3.13,"2,738.75"
355,5676,I,N,10.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),141.35,8.45,"1,194.41"
356,5676,I,N,10.10.2022,BLO001,BEEF- LEG OF BEEF,47.96,6.4,306.94
357,5676,I,N,10.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,560,3.38,"1,892.80"
358,5676,I,N,10.10.2022,PBEL05-20,PORK BELLY (COOPAVEL-BRAZIL),645.96,4.3,"2,777.63"
359,5763,I,N,04.12.2022,PM-01,PORK- MINCED PORK 6X2KG/CTNS,160,3.3,528
360,5678,I,N,09.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,204,4.19,854.76
361,5678,I,N,09.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,125,3.13,391.25
362,5678,I,N,09.10.2022,PTRI03,PORK TRIMMING FROZEN,560,2,"1,120.00"
363,5678,I,N,09.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,125,3.13,391.25
364,5678,I,N,09.10.2022,PFER02,PORK HUMEROUSBONES 10KG/CTNS,270,1.05,283.5
365,5678,I,N,09.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),221.19,5.35,"1,183.37"
366,5678,I,N,09.10.2022,PBEL06-02,PORK BELLY SINGLE SKINLESS (BOSELER-GERMANY) 20X50,106.58,6.03,642.68
367,5765,I,N,06.12.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,7,46.76,327.32
368,5765,I,N,06.12.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,400,3.44,"1,376.00"
369,5765,I,N,06.12.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,150,3.72,558
370,5765,I,N,06.12.2022,PBEL06-02,PORK BELLY SINGLE SKINLESS (BOSELER-GERMANY) 20X50,268.7,6.03,"1,620.26"
371,5765,I,N,06.12.2022,PLEG03,PORK LEG (ALEGRA-SA),139.73,3.34,466.7
372,5765,I,N,06.12.2022,CWHL13,CHICKEN- WHOLE LEG (COPACOL/ALLIZ-BRAZIL) 15kg/ctn,20,31.68,633.6
373,5765,I,N,06.12.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,700,2.4,"1,680.00"
374,5765,I,N,06.12.2022,PHOC05,PORK FRONT HOCK OLYMEL-CANADA 15KG/CTNS,360,2.35,846
375,5765,I,N,06.12.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,120,3.9,468
376,5765,I,N,06.12.2022,PTAI08,PORK TAIL L.VALLEY (AUST),30.12,4.3,129.52
377,5765,I,N,06.12.2022,PFAT04,PORK BACK FAT TONNIES,"1,000.00",2.8,"2,800.00"
378,5765,I,N,06.12.2022,PFAT01-02,PORK FATS 25kg/ctn (PCS PROCESSING),"1,125.00",1.3,"1,462.50"
379,5736,I,N,15.11.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,960,2.4,"2,304.00"
380,5736,I,N,15.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,96,4,384
381,5736,I,N,15.11.2022,CWHL03,CHICKEN- WHOLE LEG (SEARA/LAR) 15kg/ctn,45,37.5,"1,687.50"
382,5736,I,N,15.11.2022,CWHL03,CHICKEN- WHOLE LEG (SEARA/LAR) 15kg/ctn,25,37.5,937.5
383,5736,I,N,15.11.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,"1,350.00",3.5,"4,725.00"
384,5736,I,N,15.11.2022,PTRI02,PORK TRIMMING FRESH,120,3,360
385,5736,I,N,15.11.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,125,3.72,465
386,5736,I,N,15.11.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,576,3.5,"2,016.00"
387,5736,I,N,15.11.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),517.67,7.8,"4,037.83"
388,5766,I,N,07.12.2022,CWHL13,CHICKEN- WHOLE LEG (COPACOL/ALLIZ-BRAZIL) 15kg/ctn,70,31.68,"2,217.60"
389,5766,I,N,07.12.2022,PLEG03,PORK LEG (ALEGRA-SA),"1,531.10",3.34,"5,113.87"
390,5766,I,N,07.12.2022,PTRI02,PORK TRIMMING FRESH,140,3,420
391,5766,I,N,07.12.2022,PHOC05,PORK FRONT HOCK OLYMEL-CANADA 15KG/CTNS,930,2.35,"2,185.50"
392,5766,I,N,07.12.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,120,3.9,468
393,5766,I,N,07.12.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,300,2.8,840
