No,Document Number,Document Type,Canceled,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
265,5725,I,N,10.11.2022,MCU001,MUTTON CUBE 5kgX2pkt,95,8,760
266,5701,I,N,23.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,216,3.45,745.2
267,5701,I,N,23.10.2022,PTRI02,PORK TRIMMING FRESH,380,3,"1,140.00"
268,5701,I,N,23.10.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),263.38,7.8,"2,054.36"
269,5730,I,N,10.11.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,59,37.5,"2,212.50"
270,5730,I,N,10.11.2022,CWHL03,CHICKEN- WHOLE LEG (SEARA/LAR) 15kg/ctn,31,37.5,"1,162.50"
271,5730,I,N,10.11.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,980,2.4,"2,352.00"
272,5730,I,N,10.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,72,4,288
273,5730,I,N,10.11.2022,PLEG03,PORK LEG (ALEGRA-SA),563.24,3.34,"1,881.22"
274,5730,I,N,10.11.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,25,3.13,78.25
275,5730,I,N,10.11.2022,PTRI02,PORK TRIMMING FRESH,100,3,300
276,5730,I,N,10.11.2022,PM-04,PORK MINCED 7/3 GRIND TWICE 6X2KG/CTNS,560,3.3,"1,848.00"
277,5730,I,N,10.11.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,720,3.5,"2,520.00"
278,5730,I,N,10.11.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,300,3.44,"1,032.00"
279,5730,I,N,10.11.2022,PBEL05-09,PORK BELLY SHEET RIBBED AURORA 25KG/CTNS,325,4.03,"1,309.75"
280,5730,I,N,10.11.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,40,3.8,152
281,5730,I,N,10.11.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,12,4.09,49.08
282,5679,I,N,12.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,980,2.4,"2,352.00"
283,5679,I,N,12.10.2022,PHOC05-04,PORK FRONT HOCK(BOSELER-GERMANY) 10kg/ctn,80,2.13,170.4
284,5679,I,N,12.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,100,4,400
285,5679,I,N,12.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,60,4,240
286,5679,I,N,12.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),22.7,5.35,121.45
287,5679,I,N,12.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,"1,275.00",3.13,"3,990.75"
288,5679,I,N,12.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),108,5.35,577.8
289,5679,I,N,12.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,160,3.38,540.8
290,5679,I,N,12.10.2022,PBEL05-20,PORK BELLY (COOPAVEL-BRAZIL),941.35,4.3,"4,047.81"
291,5679,I,N,12.10.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn,738,4.94,"3,645.72"
292,5679,I,N,12.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,756,4.19,"3,167.64"
293,5702,I,N,24.10.2022,PFER02,PORK HUMEROUSBONES 10KG/CTNS,300,1.05,315
294,5702,I,N,24.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,90,3.45,310.5
295,5702,I,N,24.10.2022,PTRI03,PORK TRIMMING FROZEN,320,2.7,864
296,5702,I,N,24.10.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,450,3.45,"1,552.50"
297,5702,I,N,24.10.2022,PTRI03,PORK TRIMMING FROZEN,145,2.7,391.5
298,5702,I,N,24.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,730,3.63,"2,649.90"
299,5702,I,N,24.10.2022,PRIB01,PORK MEATY RIBLETS (BELGIUM) IWP PACKING,15,2.1,31.5
300,5702,I,N,24.10.2022,PRIB01-02,PORK MEATY RIBLETS (SULINA) 15kg/ctn,75,3,225
301,5702,I,N,24.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,640,2.4,"1,536.00"
302,5680,I,N,11.10.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,200,3.72,744
303,5680,I,N,11.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,"1,400.00",3.13,"4,382.00"
304,5680,I,N,11.10.2022,PTRI02,PORK TRIMMING FRESH,40,3,120
305,5680,I,N,11.10.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,"1,020.00",2.4,"2,448.00"
306,5680,I,N,11.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,120,4,480
307,5680,I,N,11.10.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),390.71,5.35,"2,090.30"
308,5680,I,N,11.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,120,4.19,502.8
309,5680,I,N,11.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,6,36,216
310,5680,I,N,11.10.2022,PRIB01-09,PORK MEALTY RIBLETS (FAMADESA-SPAIN) 10KG/CTNS,530,3.38,"1,791.40"
311,5680,I,N,11.10.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,340,4,"1,360.00"
312,5731,I,N,11.11.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,70,46.76,"3,273.20"
313,5731,I,N,11.11.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,940,2.4,"2,256.00"
314,5731,I,N,11.11.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,882,3.5,"3,087.00"
315,5731,I,N,11.11.2022,PLEG03,PORK LEG (ALEGRA-SA),260.7,3.34,870.74
