pdt_code,pdt_name,current_inv,profit_margin,profit_per_qty,purchases_data_date_range,latest_purchases_date,latest_purchases_price,purchases_min_price,sales_data_date_range,latest_sales_date,latest_sales_price,sales_max_price,sales_avg_price,sales_min_price,total_purchases_qty,total_sales_qty,avg_sales_qty_per_month,total_profit
BFT002,BEEF TENDON (FRIBOI-BRAZIL),0.0,0.06,0.4,2023-03-01 - 2023-09-29,2023-07-21,6.0,6.0,2023-03-01 - 2023-09-29,2023-07-20,6.4,6.4,6.4,6.4,135.01,136.69,22.78,54.68
BFT003,BEEF HOCK TENDON MULTI  CUT 4,77.36,0.32,4.2,2023-03-01 - 2023-09-29,2023-06-22,8.0,8.0,2023-03-01 - 2023-09-29,2023-08-01,13.0,13.0,13.0,11.0,1530.78,1458.74,243.12,6011.4
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),0.0,0.37,4.8,2023-03-01 - 2023-09-29,2023-03-30,8.2,8.2,2023-03-01 - 2023-09-29,2023-04-19,13.0,13.5,13.0,9.5,883.58,1010.81,168.47,157781.61
BFT005,BEEF HOCK TENDON (BEAUVALLET/FRIBOI-BRAZIL),509.93,0.42,5.5,2023-03-01 - 2023-09-29,2023-08-15,6.7,6.0,2023-03-01 - 2023-09-29,2023-09-27,9.5,20.0,13.0,6.2,9466.74,9023.92,1503.99,46175.79
BFT006,BEEF PADDY WACK (QUALITY BEEF),1.35,0.29,1.2,2023-03-01 - 2023-09-29,2023-09-06,2.9,2.9,2023-03-01 - 2023-09-29,2023-09-28,4.0,7.3,4.2,3.8,953.18,901.01,150.17,1844.81
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),0.0,0.35,2.11,2021-09-01 - 2023-09-29,2023-01-16,3.2,2.0,2023-03-01 - 2023-09-29,2023-09-26,4.2,6.0,4.2,4.2,2932.48,248.31,41.39,6451.92
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),4193.19,0.07,1.0,2021-09-01 - 2023-09-29,2022-07-21,12.59,12.48,2023-03-01 - 2023-09-29,2023-09-28,13.0,18.0,13.0,12.5,33838.38,2232.16,372.03,25326.23
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),1794.21,0.06,0.85,2021-09-01 - 2023-09-29,2022-09-09,13.5,13.5,2023-03-01 - 2023-09-29,2023-09-27,16.5,16.5,16.5,13.8,2013.89,133.0,22.17,1139.34
BGC003,BEEF- BEEF GOLDEN COIN MUSCLE (SWIFT-USA),0.0,0.11,1.8,2021-09-01 - 2023-09-29,2021-12-09,14.0,13.6,2021-09-01 - 2023-09-29,2022-04-06,15.0,17.0,15.8,15.0,2886.6,2800.57,466.76,4985.96
BKN001-01,BEEF KNUCKLE (MINERVA-BRAZIL),0.0,0.11,1.0,2023-03-01 - 2023-09-29,2023-08-15,7.2,6.9,2023-03-01 - 2023-09-29,2023-08-16,9.03,9.8,9.2,7.3,61672.2,15315.93,2552.66,6340.43
BKN001-02,BEEF KNUCKLE CROSS CUT (CUT 4),39.45,0.16,1.47,2023-03-01 - 2023-09-29,2023-06-20,6.9,6.9,2023-03-01 - 2023-09-29,2023-07-04,9.5,9.5,8.8,8.2,7720.6,5312.67,885.45,64786.33
BKN001-03,BEEF KNUCKLE CUT 2,0.0,0.09,0.9,2021-09-01 - 2023-09-29,2022-06-30,9.0,9.0,2023-03-01 - 2023-09-29,2023-06-23,8.8,8.8,8.8,8.8,272.47,17.2,2.87,264.27
BKN001-04,BEEF KNUCKLE (GJ-BRAZIL) 5-6pcs,76.37,0.31,3.08,2023-03-01 - 2023-09-29,2023-08-27,6.75,6.75,2023-03-01 - 2023-09-29,2023-08-26,6.9,7.2,6.9,6.9,5241.66,2769.46,461.58,842.17
BKN001-05,BEEF KNUCKLE (FRIBOI-SA),592.97,0.22,1.95,2023-03-01 - 2023-09-29,2023-09-24,7.0,6.0,2023-03-01 - 2023-09-29,2023-09-28,8.9,9.8,9.0,6.3,17824.28,8648.89,1441.48,6057.17
BKN002,BEEF CUBE 5KGX2PKT/CTNS,0.0,0.0,0.0,2023-03-01 - 2023-09-29,2023-06-28,7.5,7.5,2023-03-01 - 2023-09-29,2023-06-28,8.5,8.5,7.75,7.0,100.0,105.0,17.5,170.0
BKN002-02,BEEF CUBE (FOREQUARTER) 2' X 2' 20KG/CTN,900.13,0.04,0.3,2023-03-01 - 2023-09-29,2023-09-19,7.5,7.2,2023-03-01 - 2023-09-29,2023-09-27,9.0,11.0,7.5,7.0,155.0,1674.77,279.13,5229.2
BKN002-03,BEEF CUBE (FOREQUARTER) 3CM X 3CM 5KG/PKT,0.0,0.21,1.4,,,,,2023-03-01 - 2023-09-29,2023-07-24,6.8,6.8,6.8,6.8,,190.0,31.67,266.0
BKN003,BEEF KNUCKLE CUBE (SADIA) 500GM X20PKT,0.0,0.27,1.8,2021-09-01 - 2023-09-29,2022-11-13,5.88,4.2,2021-09-01 - 2023-09-29,2022-11-14,7.5,7.7,6.6,4.4,11200.0,11911.0,1985.17,18540.2
BKN004,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,0.0,0.11,0.5,2021-09-01 - 2023-09-29,2022-11-14,5.88,4.0,2021-09-01 - 2023-09-29,2022-11-27,7.5,7.5,4.5,4.5,270.0,90.0,15.0,99.1
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,161.0,0.24,1.7,2023-03-01 - 2023-09-29,2023-09-14,5.3,5.3,2023-03-01 - 2023-09-29,2023-09-29,7.0,9.8,7.0,6.8,3400.0,3360.0,560.0,9188.0
BLI001,BEEF LIVER,90.44,0.23,0.8,2023-03-01 - 2023-09-29,2023-09-15,2.7,2.7,2023-03-01 - 2023-09-29,2023-09-29,3.5,4.2,3.5,3.3,2463.28,2438.64,406.44,2460.82
BLO001,BEEF- LEG OF BEEF WITHOUT GOLDEN COIN-MONDELI,91.08,0.08,0.5,2023-03-01 - 2023-09-29,2023-08-10,5.8,5.6,2023-03-01 - 2023-09-29,2023-08-10,6.5,7.0,6.45,6.2,1641.83,1550.75,258.46,870.13
BLU001,BEEF LUNG,0.0,0.33,1.0,2023-03-01 - 2023-09-29,2023-05-10,1.8,1.8,2023-03-01 - 2023-09-29,2023-09-27,2.3,3.8,2.5,2.1,265.5,318.4,53.07,3970.46
BMB001,BEEF MARROW BONE AMG-AUST,1061.91,0.25,0.7,2023-03-01 - 2023-09-29,2023-08-23,2.1,2.1,2023-03-01 - 2023-09-29,2023-09-29,3.5,3.5,2.4,2.3,11004.23,7278.14,1213.02,2278.76
BMB002,BEEF MARROW BONE CUT 2 INCH,1520.05,0.4,1.4,2023-03-01 - 2023-09-29,2023-08-18,2.3,2.1,2023-03-01 - 2023-09-29,2023-09-29,2.75,4.6,3.5,2.3,14448.37,17214.05,2869.01,54412.49
BMI001,BEEF- MINCED BEEF WAGYU 1kg/pkt,0.0,0.43,6.0,,,,,2021-09-01 - 2023-09-29,2021-12-23,14.0,14.0,14.0,14.0,,8.0,1.33,48.0
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,1244.0,0.19,1.35,2021-09-01 - 2023-09-29,2023-01-19,7.5,4.5,2023-03-01 - 2023-09-29,2023-09-29,7.0,21.8,7.5,5.3,214.0,1930.0,321.67,6421.73
BMI003,BEEF- TRIMMING MINCED BEEF,0.0,0.05,0.3,2023-03-01 - 2023-09-29,2023-03-22,6.0,6.0,2023-03-01 - 2023-09-29,2023-03-22,6.3,6.3,6.3,6.3,100.0,750.0,125.0,199.0
BMI003-02,BEEF- MINCED BEEF 500GM/PKT [HALAL],0.0,0.05,0.2,2021-09-01 - 2023-09-29,2022-04-08,4.5,3.8,2021-09-01 - 2023-09-29,2022-04-08,4.51,4.51,4.0,4.0,90.0,90.0,15.0,33.1
BMI004,BEEF- MINCED BEEF (UF) 300GM/PKT,0.0,0.45,1.7,,,,,2023-03-01 - 2023-09-29,2023-08-14,6.3,6.3,5.8,2.3,,10.0,1.67,157.61
BMI005,BEEF- MINCED BEEF (SADIA) 300GM X 20PKT,0.0,0.35,1.3,2021-09-01 - 2023-09-29,2022-11-14,2.34,2.2,2021-09-01 - 2023-09-29,2022-11-24,4.58,4.58,3.7,2.7,31600.0,32482.0,5413.67,32661.38
BMI006,BEEF- MINCED BEEF (TUDBOM-SA) 500gmX24pkt,0.0,0.15,0.8,2021-09-01 - 2023-09-29,2022-10-25,4.7,4.7,2021-09-01 - 2023-09-29,2022-10-26,5.5,5.5,5.5,5.5,240.0,240.0,40.0,192.0
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 20X300gm,262.0,0.25,1.0,2023-03-01 - 2023-09-29,2023-09-23,3.1,3.0,2023-03-01 - 2023-09-29,2023-09-29,4.0,6.05,4.0,3.35,10900.0,10969.0,1828.17,16471.59
BMI008,BEEF- MINCED BEEF 2KG/PKT,0.0,1.0,6.3,,,,,2023-03-01 - 2023-09-29,2023-04-10,6.05,6.3,6.3,5.8,,3124.0,520.67,19181.2
BMM001,BEEF TRIMMING (FRIGON),0.0,0.05,0.3,2023-03-01 - 2023-09-29,2023-04-12,5.3,5.3,2023-03-01 - 2023-09-29,2023-04-12,5.9,5.9,5.9,5.9,3158.4,535.6,89.27,321.36
BMM002,WAGYU BEEF FLAP MEAT (MELTIQUE),0.0,0.17,4.0,2021-09-01 - 2023-09-29,2022-08-26,24.4,19.0,2021-09-01 - 2023-09-29,2022-02-28,23.0,23.0,23.0,23.0,5501.36,10.5,1.75,42.0
BMM003,BEEF MELTIQUE CUBE 2.3CM X 2.3CM (5KG/PKT),60.0,0.1,3.18,2021-09-01 - 2023-09-29,2022-04-05,27.82,27.82,2023-03-01 - 2023-09-29,2023-09-29,31.0,35.0,31.0,31.0,20.0,1125.0,187.5,5484.75
BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,213.0,0.33,6.5,2021-09-01 - 2023-09-29,2022-04-05,13.0,13.0,2023-03-01 - 2023-09-29,2023-09-29,19.5,34.21,19.5,18.0,18.0,3096.0,516.0,53669.57
BMM003-03,WAGYU MINCED CUBE 500GM/PKT,0.0,0.03,0.5,,,,,2021-09-01 - 2023-09-29,2021-10-02,18.0,18.0,18.0,18.0,,1.0,0.17,0.5
BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),216.96,0.05,1.5,2023-03-01 - 2023-09-29,2023-09-07,29.5,29.5,2023-03-01 - 2023-09-29,2023-09-20,32.0,39.0,32.0,30.0,6978.72,2570.62,428.44,-249.96
BMS001,BEEF MEAT SLICED 6X2KG/CTNS [HALAL],0.0,0.1,1.0,2021-09-01 - 2023-09-29,2022-11-23,8.8,8.8,2021-09-01 - 2023-09-29,2022-11-23,9.8,9.8,9.8,9.8,2.0,2.0,0.33,2.0
BMS001-02,BEEF MEAT SLICED 500GM/PKT [HALAL],0.0,0.1,0.5,2021-09-01 - 2023-09-29,2022-04-08,5.0,4.5,2021-09-01 - 2023-09-29,2022-04-08,5.01,5.3,5.0,5.0,120.0,140.0,23.33,76.2
BMS0010,BEEF- A5 KAGOSHIMA BEEF SHABU-SHABU 150-160GM/PKT,0.0,0.05,4.39,,,,,2021-09-01 - 2023-09-29,2021-10-21,92.5,92.5,92.5,92.5,,2.0,0.33,8.78
BMS0010-02,BEEF- A5 KAGOSHIMA BEEF SHABU-SHABU 160GM/PKT,0.0,0.21,3.2,,,,,2021-09-01 - 2023-09-29,2022-01-29,15.0,27.94,15.0,12.5,,168.0,28.0,715.1
BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,1595.0,0.11,1.0,2021-09-01 - 2023-09-29,2021-12-18,8.5,8.5,2023-03-01 - 2023-09-29,2023-09-29,9.59,10.8,10.0,7.6,12.0,30680.0,5113.33,102217.98
BMS003,BEEF MEAT SLICED 2-3MM 2kgX5pkt,314.0,0.15,1.4,,,,,2023-03-01 - 2023-09-29,2023-09-29,9.61,10.5,9.5,8.5,,10502.0,1750.33,69617.23
BMS003-02,BEEF MEAT SLICED 2MM 1KG/PKT,0.0,0.03,0.3,,,,,2023-03-01 - 2023-09-29,2023-09-21,8.7,9.1,8.7,8.7,,300.0,50.0,169.0
BMS004,BEEF KNUCKLE MEAT SLICED 4-5MM 2kg/pkt,70.0,0.16,1.57,,,,,2023-03-01 - 2023-09-29,2023-09-29,10.0,10.5,10.0,8.5,,1090.0,181.67,5338.13
BMS005,BEEF KNUCKLE MEAT SLICED 6MM 2kg/pkt,90.0,0.35,3.7,,,,,2023-03-01 - 2023-09-29,2023-09-29,11.0,11.0,10.5,9.0,,334.0,55.67,1855.6
BMS007,BEEF KNUCKLE MEAT SLICED 1.7MM 2kg/pkt,0.0,0.09,0.8,,,,,2023-03-01 - 2023-09-29,2023-06-10,9.5,9.5,9.5,9.5,,8.0,1.33,54.4
BMS008,BEEF MEAT SLICED 8MM 2kg/pkt,38.0,0.07,0.7,,,,,2023-03-01 - 2023-09-29,2023-05-10,10.0,10.0,10.0,10.0,,90.0,15.0,139.2
BMS008-01,BEEF MEAT SLICED 2MM X 3' X 1.5' 2KG/PKT,904.7,0.18,1.8,,,,,2023-03-01 - 2023-09-29,2023-09-28,10.2,10.5,10.2,8.5,,20848.3,3474.72,167980.65
BMS009-02,BEEF- A5 KAGOSHIMA BEEF YAKINIKU SLICE 160GM/PKT,0.0,0.22,3.24,,,,,2021-09-01 - 2023-09-29,2021-12-11,15.0,27.94,15.0,12.2,,108.0,18.0,661.38
BMS009-03,BEEF- A5 KAGOSHIMA BEEF YAKINIKU,0.0,0.23,21.5,,,,,2021-09-01 - 2023-09-29,2021-12-08,95.0,95.0,95.0,95.0,,8.0,1.33,172.0
BOM001,BEEF OMASUM (MINERVA BRAZIL),0.0,0.19,1.7,2023-03-01 - 2023-09-29,2023-05-17,7.3,7.3,2023-03-01 - 2023-09-29,2023-07-19,9.0,9.9,9.0,5.5,419.84,1497.46,249.58,3792.95
BOM001-02,BEEF OMASUM (SILVERFERN-AUST) 20KG/CTNS,438.38,0.25,2.2,2023-03-01 - 2023-09-29,2023-09-14,6.2,6.2,2023-03-01 - 2023-09-29,2023-09-29,8.35,10.0,9.0,6.7,4597.46,4167.64,694.61,46936.84
BOM001-03,BEEF OMASUM (QUALITY BEEF -BRAZIL),0.0,0.31,2.8,2023-03-01 - 2023-09-29,2023-08-19,6.2,6.2,2023-03-01 - 2023-09-29,2023-08-17,8.8,10.0,9.0,7.2,242.54,1189.28,198.21,10522.57
BOM001-04,BEEF OMASUM (SCAN) 17KG/CTNS,0.0,0.05,0.4,2023-03-01 - 2023-09-29,2023-05-29,7.0,6.9,2023-03-01 - 2023-09-29,2023-05-29,7.45,8.8,7.4,7.35,892.12,892.12,148.69,357.17
BOM002,BEEF OMASUM (AFFCO),434.39,-0.02,-0.2,2023-03-01 - 2023-09-29,2023-09-18,13.0,12.0,2023-03-01 - 2023-09-29,2023-09-29,14.5,16.8,14.5,14.0,4422.57,4450.33,741.72,5881.97
BOM002-02,BEEF BLACK OMASUM,1.97,0.11,0.96,2023-03-01 - 2023-09-29,2023-08-08,7.5,7.4,2023-03-01 - 2023-09-29,2023-08-16,14.6,14.6,8.5,8.2,414.08,415.31,69.22,689.57
BPA003,BEEF BURGER PATTIES (SADIA) 320GM X 20PKT,0.0,0.22,0.8,2021-09-01 - 2023-09-29,2022-11-11,2.99,2.8,2021-09-01 - 2023-09-29,2022-12-01,3.8,4.5,3.6,3.0,3800.0,3817.0,636.17,3076.0
BPA003-02,BEEF BURGER PATTIES CLASSIC 20X320gm,146.0,0.25,1.0,2023-03-01 - 2023-09-29,2023-09-27,3.2,3.0,2023-03-01 - 2023-09-29,2023-09-24,4.1,4.2,4.0,3.2,1060.0,1015.0,169.17,1830.6
BPA004,BEEF BURGER PEPPER & ONION (BLACK PRIMO) 420GM X 15PKT,71.0,0.02,0.1,2023-03-01 - 2023-09-29,2023-08-31,4.4,4.4,2023-03-01 - 2023-09-29,2023-09-13,5.65,5.65,5.65,5.65,345.0,312.0,52.0,1034.8
BPA004-01,BEEF BURGER CHEDDAR CHEESE (GOURMET) 15X420gm,96.0,0.17,0.9,2023-03-01 - 2023-09-29,2023-08-29,4.4,4.4,2023-03-01 - 2023-09-29,2023-09-06,5.65,5.65,5.65,5.65,195.0,196.0,32.67,1013.85
BPA005,WAYGU BEEF BURGER PATTIES 170gm,13.09,0.27,3.8,,,,,2023-03-01 - 2023-09-29,2023-09-27,36.67,36.76,14.0,11.0,,8.33,1.39,2770.35
BPA008,SEASONING WAYGU BEEF BURGER PATTIES 150gm,0.0,0.25,3.0,,,,,2021-09-01 - 2023-09-29,2022-02-08,12.0,12.0,12.0,12.0,,95.65,15.94,286.95
BPP001,BEEF PEPPERONI,0.0,0.22,2.7,2023-03-01 - 2023-09-29,2023-07-25,8.8,8.8,2023-03-01 - 2023-09-29,2023-07-25,16.0,16.0,16.0,16.0,2.0,2.0,0.33,23.4
BRC002,CHILLED BEEF RIBEYE GRAINFED BRAZIL-ANGUS,0.0,0.07,2.0,2021-09-01 - 2023-09-29,2022-01-27,25.0,25.0,2021-09-01 - 2023-09-29,2022-05-18,32.0,34.0,27.0,27.0,146.04,157.76,26.29,471.82
BRE001,BEEF RIBEYE CUBE 2CM X 2CM,45.0,-0.04,-0.5,2021-09-01 - 2023-09-29,2021-12-21,12.5,12.5,2023-03-01 - 2023-09-29,2023-09-10,12.0,12.0,12.0,12.0,288.95,805.7,134.28,-402.85
BRE0010-02,"4** CHILLED BEEF RIBEYE ""YP"" UNION STATION/MIDFIELD**PKT",0.0,0.09,0.81,,,,,2021-09-01 - 2023-09-29,2022-04-07,11.17,12.1,9.0,7.2,,321.0,53.5,345.75
BRE0011,CHILLED BEEF RIBEYE PS CUBEROLL NZ SILVERFERN,0.0,0.07,2.0,2021-09-01 - 2023-09-29,2022-12-07,28.0,25.8,2021-09-01 - 2023-09-29,2022-12-01,32.0,32.0,30.0,28.0,551.98,539.03,89.84,1080.43
