pdt_code,pdt_name,current_inv,profit_margin,profit_per_qty,summary_purchases_date_range,summary_purchases_latest_date,summary_purchases_latest_price,summary_purchases_min_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_max_price,summary_sales_median_price,summary_sales_min_price,summary_purchases_total_qty,summary_sales_total_qty,summary_sales_avg_qty_per_month,total_profit
OCS001,OTHER- CHAR SIEW CUBE,255.0,0.14,0.45,2023-08-01 - 2023-09-04,2023-08-31,2.75,2.75,2023-08-01 - 2023-09-04,2023-09-03,3.5,3.6,3.25,2.8,660.0,1607.0,1607.0,4461.56
ODB001,OTHER- LIU SHA PAU W/ SALTED EGG YOLK (9PCS/BOX),8.0,0.45,3.1,2023-06-01 - 2023-09-04,2023-07-01,3.8,3.8,2023-08-01 - 2023-09-04,2023-08-31,6.9,14.63,4.0,4.0,14.0,283.0,283.0,1791.72
ODB002-02,OTHER- CUSTARD PAU (6PCS/BOX),0.0,,,,,,,2023-06-01 - 2023-09-04,2023-06-21,1.3,1.6,1.45,1.3,,38.0,38.0,0.0
ODB003-02,OTHER- LOTUS LEAF BUN 28g x 10's,56.0,0.22,0.4,2023-08-01 - 2023-09-04,2023-08-18,1.4,1.4,2023-08-01 - 2023-09-04,2023-08-28,1.8,1.9,1.8,1.8,112.0,224.0,224.0,266.0
ODS002,OTHER- DOUGH STICK 6PCS/PKT,0.0,0.24,3.2,2023-06-01 - 2023-09-04,2023-07-21,10.3,10.3,2023-06-01 - 2023-09-04,2023-07-21,13.5,13.5,13.5,13.5,10.0,10.0,10.0,32.0
ODU007,OTHER- SOUP XIAO LONG BAO 1KG/PKT,8.0,0.12,1.5,2023-06-01 - 2023-09-04,2023-07-06,11.0,11.0,2023-08-01 - 2023-09-04,2023-08-29,11.6,18.43,11.6,11.2,30.0,170.0,170.0,2184.3
ODU012,OTHER- FRIED WANTON 50's,0.0,0.17,1.1,2023-06-01 - 2023-09-04,2023-07-15,5.4,5.4,2023-06-01 - 2023-09-04,2023-07-15,6.5,6.5,6.5,6.5,3.0,3.0,3.0,3.3
ODU012-02,OTHER- SEAFOOD WANTON,0.0,,,,,,,2023-06-01 - 2023-09-04,2023-07-28,5.6,6.8,6.0,5.5,,58.0,58.0,0.0
ODU015-01,OTHER- CHICKEN GYOZA 210GM X 24PKT/CTNS,76.0,0.05,0.2,2023-08-01 - 2023-09-04,2023-08-05,3.5,3.5,2023-06-01 - 2023-09-04,2023-07-28,3.7,3.7,3.7,3.7,76.0,44994.0,44994.0,8998.8
ODU015-03,OTHER- SALMON GYOZA,20.0,0.36,3.13,2023-08-01 - 2023-09-04,2023-08-30,5.6,5.6,2023-08-01 - 2023-09-04,2023-08-28,8.0,10.93,10.92,8.0,30.0,90.0,90.0,14859.47
