date,customer_code,customer_name,item_code,description,quantity,currency,selling_price,document_no,total,latest_purchase_price,median_price,avg_price,min_price,max_price,latest_profit_per_uom,median_profit_per_uom,avg_profit_per_uom,max_profit_per_uom,min_profit_per_uom,latest_total_profit,median_total_profit,avg_total_profit,max_total_profit,min_total_profit,latest_pc1,median_pc1,avg_pc1,max_pc1,min_pc1
2022-11-11,UCO0021,OMNI AQUATIC SUPPLIES PTE LTD,PFAT04,PORK BACK FAT TONNIES,1500.09,SGD,2.75,22225005,4125.2474999999995,2.8,2.8,2.8,2.8,2.8,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-75.00449999999972,-75.00449999999972,-75.00449999999972,-75.00449999999972,-75.00449999999972,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812
2022-11-11,UCM0092,MTIA PTE LTD,PFAT04,PORK BACK FAT TONNIES,209.66,SGD,2.75,22225333,576.5649999999999,2.8,2.8,2.8,2.8,2.8,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-10.482999999999963,-10.482999999999963,-10.482999999999963,-10.482999999999963,-10.482999999999963,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812
2022-11-14,UCR0091,RONG YI KEE PTE LTD,PFAT04,PORK BACK FAT TONNIES,104.98,SGD,2.6,22226262,272.94800000000004,2.8,2.8,2.8,2.8,2.8,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-20.995999999999974,-20.995999999999974,-20.995999999999974,-20.995999999999974,-20.995999999999974,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682
2022-11-18,UCR0091,RONG YI KEE PTE LTD,PFAT04,PORK BACK FAT TONNIES,96.36,SGD,2.6,22227906,250.536,2.8,2.8,2.8,2.8,2.8,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-19.271999999999974,-19.271999999999974,-19.271999999999974,-19.271999999999974,-19.271999999999974,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682
2022-11-19,UCM0092,MTIA PTE LTD,PFAT04,PORK BACK FAT TONNIES,39.5,SGD,2.75,22228584,108.625,2.8,2.8,2.8,2.8,2.8,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-1.974999999999993,-1.974999999999993,-1.974999999999993,-1.974999999999993,-1.974999999999993,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812
2022-11-23,UCR0091,RONG YI KEE PTE LTD,PFAT04,PORK BACK FAT TONNIES,61.88,SGD,2.6,22229880,160.888,2.8,2.8,2.8,2.8,2.8,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-12.375999999999983,-12.375999999999983,-12.375999999999983,-12.375999999999983,-12.375999999999983,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682
2022-11-23,UCO0021,OMNI AQUATIC SUPPLIES PTE LTD,PFAT04,PORK BACK FAT TONNIES,429.66,SGD,2.75,22230078,1181.565,2.8,2.8,2.8,2.8,2.8,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-21.482999999999926,-21.482999999999926,-21.482999999999926,-21.482999999999926,-21.482999999999926,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812
2022-11-28,UCR0091,RONG YI KEE PTE LTD,PFAT04,PORK BACK FAT TONNIES,43.74,SGD,2.6,22231768,113.724,2.8,2.8,2.8,2.8,2.8,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-8.747999999999989,-8.747999999999989,-8.747999999999989,-8.747999999999989,-8.747999999999989,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682,-0.07692307692307682
2022-11-30,UCM0092,MTIA PTE LTD,PFAT04,PORK BACK FAT TONNIES,43.88,SGD,2.75,22232790,120.67,2.8,2.8,2.8,2.8,2.8,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-2.1939999999999924,-2.1939999999999924,-2.1939999999999924,-2.1939999999999924,-2.1939999999999924,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812,-0.01818181818181812
2022-12-05,UCT0127,T&L INDUSTRIES PTE LTD,PBRO01,PORK- ROASTED PORK BELLY,1.0,SGD,15.5,22235247,15.5,16.67,15.835,15.835,15.0,16.67,-1.1700000000000017,-0.33500000000000085,-0.33500000000000085,0.5,-1.1700000000000017,-1.1700000000000017,-0.33500000000000085,-0.33500000000000085,0.5,-1.1700000000000017,-0.07548387096774205,-0.021612903225806508,-0.021612903225806508,0.03225806451612903,-0.07548387096774205
