item_code,description,purchase_count,avg_price,min_price,median_price,max_price,latest_purchase_price,latest_purchase_date,total_qty,total_pv,num_suppliers
SVA0011-02,SEAFOOD- VANNAMEI HOSO 16-20pcs 10X1pkt/ctn,6.0,11.5,11.5,11.5,11.5,11.5,2022-12-29,170.0,1955.0,1
SVA002-06,SEAFOOD- BLACK TIGER HOSO 13/15 10X1pkt,5.0,13.180000000000001,12.7,13.5,13.5,12.7,2022-12-29,300.0,3906.0,2
SVA002-08,SEAFOOD- BLACK TIGER HOSO 41-50pcs A&O 10x1pkt/ctn,2.0,7.1,6.8,7.1,7.4,6.8,2022-12-09,950.0,6760.0,1
SVA002-11,SEAFOOD- BLACK TIGER HOSO 16/20 1kg x 10pkt,5.0,11.36,10.3,11.5,12.0,10.3,2022-12-19,360.0,4085.0,2
SVA003,SEAFOOD- VANNAMEI HOSO 51-60 GOLDEN-PERU 700GM/PKT,3.0,6.5,6.5,6.5,6.5,6.5,2022-12-31,228.0,1482.0,1
SVA003-02,SEAFOOD- VANNAMEI HOSO 51-60pcs A&O 10x1pkt/ctn,1.0,6.5,6.5,6.5,6.5,6.5,2022-12-01,10.0,65.0,1
SVA004-02,SEAFOOD- VANNAMEI HOSO COOKED 31/40 FRESH CHOICE 10X1KG/CTNS,6.0,11.0,11.0,11.0,11.0,11.0,2022-12-30,1150.0,12650.0,1
SVA004-03,SEAFOOD- VANNAMEI HOSO COOKED 31-40 12X1pkt/ctn (EMERALD),2.0,10.0,10.0,10.0,10.0,10.0,2022-12-14,360.0,3600.0,1
SVA004-04,SEAFOOD- VANNAMEI HOSO COOKED 26-30 10X1pkt/ctn (AA-MESTI),6.0,12.5,12.5,12.5,12.5,12.5,2022-12-26,1750.0,21875.0,1
SVA004-06,SEAFOOD- VANNAMEI HOSO COOKED 41-50 10X1pkt/ctn (AA-MESTI),8.0,10.33,10.33,10.33,10.33,10.33,2022-12-09,1400.0,14462.0,1
SVA004-07,SEAFOOD- VANNAMEI HOSO COOKED 41-50 12X1pkt/ctn (EMERALD),2.0,9.5,9.5,9.5,9.5,9.5,2022-12-14,360.0,3420.0,1
SVA005,SEAFOOD- VANNAMEI HOSO 31-40 GOLDEN-PERU 700GM/PKT,8.0,8.625,8.5,8.5,9.5,8.5,2022-12-24,3856.0,32816.0,2
SVA006,SEAFOOD- VANNAMEI HOSO 31-40pcs A&O 10x1pkt/ctn,3.0,8.833333333333334,7.5,9.5,9.5,9.5,2022-12-23,80.0,720.0,2
SVA007,SEAFOOD- VANNAMEI HOSO 31-35 (ECU) 5X2KG/CTNS,2.0,7.0,7.0,7.0,7.0,7.0,2022-12-28,250.0,1750.0,1
SVA008,SEAFOOD- VANNAMEI HOSO 41/50 6x2KG/PKT,1.0,7.1,7.1,7.1,7.1,7.1,2022-11-14,768.0,5452.799999999999,1
SVA008-02,SEAFOOD- VANNAMEI HOSO 41-50 GOLDEN-PERU 700GM/PKT,3.0,6.900000000000001,6.9,6.9,6.9,6.9,2022-12-31,228.0,1573.2,1
SVA008-03,SEAFOOD- VANNAMEI HOSO 41/50 12X1KG/CTNS ECU,1.0,8.0,8.0,8.0,8.0,8.0,2022-10-11,180.0,1440.0,1
SVA008-04,SEAFOOD- VANNAMEI HOSO 41-50pcs A&O 10x1pkt/ctn,11.0,7.645454545454545,6.9,7.55,9.0,7.55,2022-12-26,1378.0,10417.4,4
SVA009-02,SEAFOOD- VANNAMEI HOSO 20-30 -DOM CAMAROM 12x1kg,4.0,10.5,10.5,10.5,10.5,10.5,2022-12-28,440.0,4620.0,1
