vendor_code,vendor_name,item_code,description,purchase_count,avg_price,min_price,median_price,max_price,total,total_qty,latest_purchase_date,group_median_price,group_max_price,group_latest_price,num_suppliers,price_diff_from_group
UVB0006,BEN FOODS (S) PTE LTD,OCA002,OTHER- CAULIFORNIA MIX 10X1KG/CTNS,3.0,2.05,2.05,2.05,2.05,348.49999999999994,170.0,2022-12-19,2.05,2.05,2.05,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OCH002,OTHER- CHEDDAR CHEESE SHREDDED 2kg,4.0,11.25,11.25,11.25,11.25,135.0,12.0,2022-12-02,11.25,11.25,11.25,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OCH003,OTHER- PARMESAN CHEESE GRATED 2KG/PKT,1.0,16.0,16.0,16.0,16.0,32.0,2.0,2022-12-02,16.0,16.0,16.0,2,0.0
UVB0006,BEN FOODS (S) PTE LTD,OED001,OTHER- EDAMAME IN SHELL 400GM X 25PKT,10.0,1.1,1.1,1.1,1.1,2090.0,1900.0,2022-12-29,1.1,1.1,1.1,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OED003,OTHER- EDAMAME BEAN (WITHOUT SHELL)  10X1KG/CTNS,8.0,3.4125,2.8,3.5,3.5,1750.0,510.0,2022-12-31,3.5,3.5,3.5,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OFF0010,OTHER- FRIES SWEET POTATO PLATTER (LAMB'S) 1/4' x 1/2',1.0,10.8,10.8,10.8,10.8,108.0,10.0,2022-10-01,10.8,10.8,10.8,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OFF004,OTHER- F.FRIES STRAIGHT CUT 5X2KG/CTNS,1.0,2.9,2.9,2.9,2.9,58.0,20.0,2022-12-02,2.9,2.9,2.9,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OFF004-03,OTHER- F.FRIES SHOESRING (FARMLAND) 1X10pkt,9.0,3.5,3.5,3.5,3.5,3675.0,1050.0,2022-12-29,3.5,3.5,3.5,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OFF004-04,OTHER- F.FRIES COATED STRAIGHT CUT 5X2KG/CTNS (FARMCHEF),1.0,5.8,5.8,5.8,5.8,29.0,5.0,2022-10-01,5.8,5.8,5.8,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OFF005-01,OTHER- SEASONED WEDGE (LAMB WESTON) 12X1KG/CTNS,5.0,5.1659999999999995,4.83,5.25,5.25,2784.6,540.0,2022-12-22,5.25,5.25,5.25,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OFF006-03,OTHER- F.FRIES CRISS CROSS  (CROKKN BATTERED) 4 X 2.5KG/CTNS,7.0,8.75,8.75,8.75,8.75,1085.0,124.0,2022-12-31,8.75,8.75,8.75,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OHB002,OTHER- HASH BROWN TRI TATERS (SIMLOT) 2.27kgX6pkt,1.0,9.17,9.17,9.17,9.17,550.2,60.0,2022-10-01,9.17,9.17,9.17,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OHB003,OTHER- HASH BROWN TRI TATERS (MAESTRO) 2.5kgX4pkt,8.0,8.5,8.5,8.5,8.5,2006.0,236.0,2022-12-20,8.5,8.5,8.5,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OSR007,OTHER- COWHEAD ORIGINAL WRAPS 12PKT X 12PCS,5.0,2.5,2.5,2.5,2.5,150.0,60.0,2022-12-22,2.5,2.5,2.5,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OTS002,OTHER - PORK LUNCHEON MEAT 6X1.81KG/CAN (MIDLAND-SQUARE),20.0,8.5,8.5,8.5,8.5,12903.0,1518.0,2022-12-31,8.5,8.5,8.5,1,0.0
UVB0006,BEN FOODS (S) PTE LTD,OWC001,OTHER- WHIPPING CREAM WEST GOLD 12X1L/ctns,2.0,6.0,6.0,6.0,6.0,144.0,24.0,2022-11-18,6.0,6.0,6.0,1,0.0
UVB0014,BEAN CITY FOODSTUFF PTE LTD,CSKI01,CHICKEN SKIN 15kg/ctn,1.0,0.5,0.5,0.5,0.5,65.0,130.0,2022-10-28,0.5,0.5,0.5,1,0.0
UVB0019,BLU VENTURES PTE LTD,FLE003,FISH- LEATHER JACKET 300-400gm 10kg/ctn,1.0,7.5,7.5,7.5,7.5,225.0,30.0,2022-10-23,7.5,7.5,7.5,2,0.0
UVB0019,BLU VENTURES PTE LTD,FSN001-03,FISH- TOMAN FILLET 300/500 10KG/CTNS,2.0,7.65,7.5,7.65,7.8,930.0,120.0,2022-11-08,8.2,8.2,8.2,2,-0.5499999999999989
UVB0019,BLU VENTURES PTE LTD,FSN002-02,FISH- TOMAN FILLET CUT SLICED (SKIN-ON) 4MM 10X1KG/CTNS,2.0,7.65,7.5,7.65,7.8,1005.0,130.0,2022-11-10,7.65,7.8,7.5,1,0.0
UVB0019,BLU VENTURES PTE LTD,FSN002-04,FISH- TOMAN FILLET CUT SLICED (SKIN-ON) 4MM 10X1KG/CTNS,4.0,8.125,7.5,8.0,9.0,3250.0,400.0,2022-12-17,8.0,9.0,9.0,1,0.0
