doc_date,payment_type,total,doc_total
2018-07-01,check_sum,1601754.71,2831004.95
2018-07-01,transfer_sum,296140.56,2831004.95
2018-08-01,cash_sum,872686.55,2624377.85
2018-08-01,credit_sum,0.0,2624377.85
2018-08-01,check_sum,1400921.0,2624377.85
2018-08-01,transfer_sum,350307.92,2624377.85
2018-09-01,cash_sum,846942.4,2560932.22
2018-09-01,credit_sum,0.0,2560932.22
2018-09-01,check_sum,1296222.96,2560932.22
2018-09-01,transfer_sum,417354.27,2560932.22
2018-10-01,cash_sum,846412.6,3061239.18
2018-10-01,credit_sum,0.0,3061239.18
2018-10-01,check_sum,1786678.3,3061239.18
2018-10-01,transfer_sum,427621.94,3061239.18
2018-11-01,cash_sum,791383.9,2661325.05
2018-11-01,credit_sum,0.0,2661325.05
2018-11-01,check_sum,1483235.27,2661325.05
2018-11-01,transfer_sum,386298.73,2661325.05
2018-12-01,cash_sum,762682.65,2378206.44
2018-12-01,credit_sum,0.0,2378206.44
2018-12-01,check_sum,1270883.87,2378206.44
2018-12-01,transfer_sum,344172.43,2378206.44
2019-01-01,cash_sum,857425.1,3103437.48
2019-01-01,credit_sum,0.0,3103437.48
2019-01-01,check_sum,1528552.84,3103437.48
2019-01-01,transfer_sum,716921.66,3103437.48
2019-02-01,cash_sum,608237.2,2158600.19
2019-02-01,credit_sum,0.0,2158600.19
2019-02-01,check_sum,833914.12,2158600.19
2019-02-01,transfer_sum,716039.46,2158600.19
2019-03-01,cash_sum,699436.82,3787786.19
2019-03-01,credit_sum,0.0,3787786.19
2019-03-01,check_sum,1847853.88,3787786.19
2019-03-01,transfer_sum,1240001.43,3787786.19
2019-04-01,cash_sum,726411.35,2611615.73
2019-04-01,credit_sum,0.0,2611615.73
2019-04-01,check_sum,1307766.43,2611615.73
2019-04-01,transfer_sum,576985.38,2611615.73
2019-05-01,cash_sum,776996.6,3530852.55
2019-05-01,credit_sum,0.0,3530852.55
2019-05-01,check_sum,1699510.08,3530852.55
2019-05-01,transfer_sum,1053866.17,3530852.55
2019-06-01,cash_sum,756448.9,2342019.18
2019-06-01,credit_sum,0.0,2342019.18
2019-06-01,check_sum,1127160.21,2342019.18
2019-06-01,transfer_sum,458007.63,2342019.18
2019-07-01,cash_sum,889444.5,2510681.0
2019-07-01,credit_sum,0.0,2510681.0
2019-07-01,check_sum,1110215.1,2510681.0
2019-07-01,transfer_sum,510349.83,2510681.0
2019-08-01,cash_sum,756454.55,2634152.56
2019-08-01,credit_sum,0.0,2634152.56
2019-08-01,check_sum,1249246.98,2634152.56
2019-08-01,transfer_sum,628058.46,2634152.56
2019-09-01,cash_sum,726628.25,2787784.44
2019-09-01,credit_sum,0.0,2787784.44
