vendor_code,vendor_name,date,total
UVA0004,ARCO MARKETING PTE LTD,2022-11-20,0.0
UVA0004,ARCO MARKETING PTE LTD,2022-11-27,720.0
UVA0004,ARCO MARKETING PTE LTD,2022-12-04,0.0
UVA0004,ARCO MARKETING PTE LTD,2022-12-11,720.0
UVA0004,ARCO MARKETING PTE LTD,2022-12-18,0.0
UVA0004,ARCO MARKETING PTE LTD,2022-12-25,864.0
UVA0017,ARGENTRADE INTERNATIONAL  B.V,2022-12-11,156909.123
UVA0018,AJC INTERNATIONAL,2022-10-16,175230.0
UVA0018,AJC INTERNATIONAL,2022-10-23,62099.99999999999
UVA0018,AJC INTERNATIONAL,2022-10-30,0.0
UVA0018,AJC INTERNATIONAL,2022-11-06,0.0
UVA0018,AJC INTERNATIONAL,2022-11-13,54266.4
UVA0018,AJC INTERNATIONAL,2022-11-20,0.0
UVA0018,AJC INTERNATIONAL,2022-11-27,0.0
UVA0018,AJC INTERNATIONAL,2022-12-04,118717.9
UVA0018,AJC INTERNATIONAL,2022-12-11,0.0
UVA0018,AJC INTERNATIONAL,2022-12-18,112590.0
UVA0018,AJC INTERNATIONAL,2022-12-25,0.0
UVA0018,AJC INTERNATIONAL,2023-01-01,206550.0
UVA0019,AMAX FOODS PTE LTD,2022-10-09,9254.15
UVA0019,AMAX FOODS PTE LTD,2022-10-16,33288.243
UVA0019,AMAX FOODS PTE LTD,2022-10-23,61461.812
UVA0019,AMAX FOODS PTE LTD,2022-10-30,63961.6
UVA0019,AMAX FOODS PTE LTD,2022-11-06,26065.501
UVA0019,AMAX FOODS PTE LTD,2022-11-13,34798.971
UVA0019,AMAX FOODS PTE LTD,2022-11-20,19852.720999999998
UVA0019,AMAX FOODS PTE LTD,2022-11-27,10762.224
UVA0019,AMAX FOODS PTE LTD,2022-12-04,23015.550000000003
UVA0019,AMAX FOODS PTE LTD,2022-12-11,4679.999999999999
UVA0019,AMAX FOODS PTE LTD,2022-12-18,16204.161
UVA0019,AMAX FOODS PTE LTD,2022-12-25,33241.627
UVA0019,AMAX FOODS PTE LTD,2023-01-01,17734.022
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-10-09,310.0
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-10-16,0.0
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-10-23,310.0
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-10-30,0.0
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-11-06,0.0
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-11-13,310.0
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-11-20,155.0
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-11-27,0.0
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-12-04,310.0
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-12-11,0.0
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,2022-12-18,155.0
