doc_date,industry_desc,trade_suppliers_ind,active_vendor,total
2016-12-01,LOCAL SUPPLIERS,OTHER VENDOR,0,94409.97
2016-12-01,LOCAL SUPPLIERS,OTHER VENDOR,1,239336.49
2016-12-01,LOCAL SUPPLIERS,TRADE VENDOR,0,260684.02
2016-12-01,LOCAL SUPPLIERS,TRADE VENDOR,1,3141312.64
2016-12-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,60533.4
2016-12-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,407945.43
2017-01-01,LOCAL SUPPLIERS,OTHER VENDOR,0,23697.66
2017-01-01,LOCAL SUPPLIERS,OTHER VENDOR,1,145683.84
2017-01-01,LOCAL SUPPLIERS,TRADE VENDOR,0,590574.0700000001
2017-01-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1765738.22
2017-01-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,424388.43
2017-01-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,315618.42
2017-02-01,LOCAL SUPPLIERS,OTHER VENDOR,0,11152.58
2017-02-01,LOCAL SUPPLIERS,OTHER VENDOR,1,125039.73
2017-02-01,LOCAL SUPPLIERS,TRADE VENDOR,0,251023.78
2017-02-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1921138.95
2017-02-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,22147.6
2017-03-01,LOCAL SUPPLIERS,OTHER VENDOR,0,20902.79
2017-03-01,LOCAL SUPPLIERS,OTHER VENDOR,1,122681.77
2017-03-01,LOCAL SUPPLIERS,TRADE VENDOR,0,764835.02
2017-03-01,LOCAL SUPPLIERS,TRADE VENDOR,1,2002028.3599999999
2017-03-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,891117.62
2017-03-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,595361.3400000001
2017-04-01,LOCAL SUPPLIERS,OTHER VENDOR,0,16694.94
2017-04-01,LOCAL SUPPLIERS,OTHER VENDOR,1,128858.67
2017-04-01,LOCAL SUPPLIERS,TRADE VENDOR,0,308215.2
2017-04-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1812252.57
2017-04-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,424025.25
2017-04-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,233111.19
2017-05-01,LOCAL SUPPLIERS,OTHER VENDOR,0,16926.75
