item_code,description,week_start,selling_price
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-11-07,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-11-14,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-11-21,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-11-28,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-12-05,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-12-12,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-12-19,9.5
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),2022-12-26,8.8
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-10-03,8.0
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-10-17,8.0
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-10-24,7.5
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-10-31,8.5
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-11-07,8.5
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-11-14,8.5
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-11-21,8.5
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-11-28,8.5
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-12-05,8.15
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-12-12,8.5
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-12-19,8.5
BKN002-02,BEEF CUBE 2' X 2' 20KG/CTN,2022-12-26,8.5
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-09-26,6.6
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-03,6.6
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-10,6.6
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-17,6.6
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-24,6.6
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-10-31,6.6
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,2022-11-07,7.5
BKN004,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-11-21,7.2
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-11-07,7.5
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-11-14,7.5
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-11-28,7.5
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,2022-12-05,7.0
