item_code,description,date,sales_price,purchase_price
BFC003,BEEF FLOSS 2KG/PKT,2022-11-06,8.8,
BFC003,BEEF FLOSS 2KG/PKT,2022-11-13,8.8,
BFC003,BEEF FLOSS 2KG/PKT,2022-11-20,8.8,
BFC003,BEEF FLOSS 2KG/PKT,2022-11-27,8.8,
BFC003,BEEF FLOSS 2KG/PKT,2022-12-04,8.8,
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-10-09,5.0,
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-10-16,5.0,
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-10-23,5.0,
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-10-30,5.0,3.6
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-11-06,5.0,
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-11-13,5.0,
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-11-20,,
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-11-27,4.5,
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-12-04,,
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-12-11,,
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-12-18,4.05,3.5
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-12-25,3.9,
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-10-16,6.0,
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-10-23,,
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-10-30,,
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-11-06,,
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-11-13,,
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-11-20,,
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-11-27,,
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-12-04,6.0,4.2
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-02,8.5,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-09,8.5,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-16,8.5,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-23,8.5,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-30,8.5,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-11-06,7.5,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-11-13,7.5,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-11-20,7.5,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-11-27,9.5,
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-12-04,7.5,
