week_start,item_code,description,vendor_code,vendor_name,price,group_average_price,group_min_price,group_max_price
2022-12-12,BSU003-02,BEEF SHABU SHABU (BUTHER'S RIDGE) 400GMX20PKT,UVS0008,COUNTRY FOODS PTE LTD,7.0,7.0,7.0,7.0
2022-12-12,BTR001,BEEF TRIPE (NZ-SILVERFERN) 22kg/ctn,UVM0001,MUA HIN POULTRY FARM PTE LTD,3.3,3.3,3.3,3.5
2022-12-12,CBON01,CHICKEN BONE,UVH0019,HUP HENG POULTRY INDUSTRIES PTE LTD,5.0,2.5,2.5,3.56
2022-12-12,CBSL14,CHICKEN BREAST STRIP 250GM X 12PKT (PERDIGAO),UVS0008,COUNTRY FOODS PTE LTD,2.8,1.9,1.9,2.8
2022-12-12,CCUB11,CHICKEN CUBE  400GM X 12PKT (PERDIGAO),UVS0008,COUNTRY FOODS PTE LTD,3.5,3.5,3.3,3.5
2022-12-12,CDRU02,CHICKEN DRUMSTICK TYSON 3X5KG/CTNS,UVG0001,GOODCROP PTE LTD,2.6,2.6,2.6,2.6
2022-12-12,CKAD01,CHICKEN KATSUDON 14pcs 1kgX10pkt,UVP0016,PREMIER FOODS ASIA PTE LTD,7.1,7.1,7.1,7.1
2022-12-12,CMIJ03,CHICKEN- MID JOINT 35-45gm (AURORA) 12X1pkt,UVP0002,PIN CORPORATION PTE LTD,9.2,4.6,4.6,4.65
2022-12-12,CMIJ03-02,CHICKEN- MID JOINT 30gm (PERDIGAO) 1kgX12pkt,UVT0040,TRADE-PRO TRADING PTE LTD,4.8,4.8,3.1,4.8
2022-12-12,CMIJ09,CHICKEN- MID JOINT FRANGOSUL 12X1KG/CTNS,UVQ0005,QUALITY MEAT PTE LTD,2.0,2.0,2.0,2.0
2022-12-12,CMIN04,CHICKEN- MINCED CHICKEN (BUTHER'S RIDGE) 20X300gm,UVS0008,COUNTRY FOODS PTE LTD,5.0,2.5,2.5,2.5
2022-12-12,CNSF02,CHICKEN STIR FRY 250GM X 12PKT (BUTHER'S RIDGE),UVS0008,COUNTRY FOODS PTE LTD,2.5,2.5,2.5,2.5
2022-12-12,COLD01,CHICKEN- OLD FOWL,UVH0019,HUP HENG POULTRY INDUSTRIES PTE LTD,9.2,4.6,4.6,4.6
2022-12-12,CSLI08-03,CHICKEN SLICED SHABU SHABU 12X300gm/pkt BUTHER'S RIDGE,UVS0008,COUNTRY FOODS PTE LTD,2.8,2.8,2.8,2.8
2022-12-12,CWHL14,CHICKEN- WHOLE LEG 230-260GM (FRESH),UVK0008,KEE SONG FOOD CORPORTION (S) PTE LTD,38.0,9.5,9.5,9.5
2022-12-12,CWIN01-03,CHICKEN WING 80-100GM UP (SEARA) 2KGX6PKT,UVO0001,OMNI AQUATIC SUPPLIES PTE LTD,3.8,3.8,3.8,3.8
2022-12-12,CWIN01-05,CHICKEN WING 75-90gm (PERDIAGO) 15kg/ctn,UVP0002,PIN CORPORATION PTE LTD,57.0,57.0,57.0,63.0
2022-12-12,CWIN05-01,CHICKEN WING 120-140gm (SEARA) 15kg/ctn,UVQ0005,QUALITY MEAT PTE LTD,30.0,30.0,30.0,30.0
2022-12-12,CWIN05-04,CHICKEN WING 120GMUP / 120-150gm UP (PD/SEARA/AVIA)15kg/ctn,UVM0001,MUA HIN POULTRY FARM PTE LTD,45.75,45.75,45.75,46.5
2022-12-12,DEER01,DEER MEAT,UVA0001,ANGLISS SINGAPORE PTE LTD,28.0,30.0,28.0,30.0
2022-12-12,DUCK01-04,DUCK- HALAL FRESH WHOLE DUCK (3.56kg/pcs),UVK0007,KENDO TRADING PTE LTD,10.629999999999999,5.33,4.5,6.0
2022-12-12,DUCK05-02,DUCK TONGUE,UVM0016,MAMAMI DEAL PTE LTD,15.0,15.0,15.0,19.0
