item_code,description,date,quantity,purchase_quantity
BOM001-02,BEEF OMASUM AUST 20KG/CTNS,2022-10-01,425.3,0.0
BOM001-02,BEEF OMASUM AUST 20KG/CTNS,2022-11-01,294.8,289.92
BOM001-02,BEEF OMASUM AUST 20KG/CTNS,2022-12-01,540.4,350.0
BOM001-03,BEEF OMASUM BRAZIL,2022-10-01,522.28,379.2
BOM001-03,BEEF OMASUM BRAZIL,2022-11-01,1200.52,164.16
BOM001-03,BEEF OMASUM BRAZIL,2022-12-01,699.54,100.21
BOM002,BEEF OMASUM (AFFCO),2022-10-01,279.4,232.58
BOM002,BEEF OMASUM (AFFCO),2022-11-01,367.79,221.04
BOM002,BEEF OMASUM (AFFCO),2022-12-01,784.72,0.0
BPA003,BEEF BURGER PATTIES (SADIA) 20X320gm,2022-10-01,187.0,0.0
BPA003,BEEF BURGER PATTIES (SADIA) 20X320gm,2022-11-01,49.0,200.0
BPA003,BEEF BURGER PATTIES (SADIA) 20X320gm,2022-12-01,20.0,0.0
BPA003-02,BEEF BURGER PATTIES CLASSIC 20X320gm,2022-11-01,192.0,100.0
BPA003-02,BEEF BURGER PATTIES CLASSIC 20X320gm,2022-12-01,233.0,110.0
BPA004,BEEF BURGER PEPPER & ONION (BLACK PRIMO SADIA) 15X420gm,2022-10-01,89.0,0.0
BPA004,BEEF BURGER PEPPER & ONION (BLACK PRIMO SADIA) 15X420gm,2022-11-01,15.0,75.0
BPA004,BEEF BURGER PEPPER & ONION (BLACK PRIMO SADIA) 15X420gm,2022-12-01,165.0,75.0
BPA004-01,BEEF BURGER/CHEDDAR CHEESE (PRIMO SADIA) 15X420gm,2022-10-01,50.0,0.0
BPA004-01,BEEF BURGER/CHEDDAR CHEESE (PRIMO SADIA) 15X420gm,2022-11-01,0.0,0.0
BPA004-01,BEEF BURGER/CHEDDAR CHEESE (PRIMO SADIA) 15X420gm,2022-12-01,75.0,75.0
BPA005,WAYGU BEEF BURGER PATTIES 170gm,2022-10-01,1.19,0.0
BPA005,WAYGU BEEF BURGER PATTIES 170gm,2022-11-01,6.8,0.0
BPA005,WAYGU BEEF BURGER PATTIES 170gm,2022-12-01,4.93,0.0
BRE0011,CHILLED BEEF RIBEYE PS CUBEROLL NZ SILVERFERN,2022-10-01,138.46,133.46
BRE0011,CHILLED BEEF RIBEYE PS CUBEROLL NZ SILVERFERN,2022-11-01,11.93,0.0
BRE0011,CHILLED BEEF RIBEYE PS CUBEROLL NZ SILVERFERN,2022-12-01,3.9,14.24
BRE002,BEEF RIBEYE STEAK 190-220gm,2022-10-01,56.52,0.0
BRE002,BEEF RIBEYE STEAK 190-220gm,2022-11-01,66.64,0.0
BRE002,BEEF RIBEYE STEAK 190-220gm,2022-12-01,84.17,0.0
BRE003-04,BEEF RIBEYE SHABU SHABU 2MM 500GM/PKT,2022-10-01,525.0,0.0
BRE003-04,BEEF RIBEYE SHABU SHABU 2MM 500GM/PKT,2022-11-01,251.0,0.0
BRE003-04,BEEF RIBEYE SHABU SHABU 2MM 500GM/PKT,2022-12-01,423.0,0.0
BRE005,BEEF RIBEYE / CUBEROLL (MONDELI),2022-11-01,120.3,894.99
BRE005,BEEF RIBEYE / CUBEROLL (MONDELI),2022-12-01,456.39,682.74
BRE006,BEEF RIBEYE / CUBEROLL (MINERVA),2022-10-01,380.34000000000003,0.0
BRE006,BEEF RIBEYE / CUBEROLL (MINERVA),2022-11-01,205.82999999999998,0.0
BRF002,BEEF RIB FINGER (BRAZIL-MINERVA/MONDELI/QUALITY BEEF),2022-10-01,2499.03,0.0
BRF002,BEEF RIB FINGER (BRAZIL-MINERVA/MONDELI/QUALITY BEEF),2022-11-01,2934.2,0.0
BRF002,BEEF RIB FINGER (BRAZIL-MINERVA/MONDELI/QUALITY BEEF),2022-12-01,3057.81,725.88
BSF001,BEEF STIR FRY (TFP) 200gmX20pkt,2022-10-01,1053.0,250.0
BSF001,BEEF STIR FRY (TFP) 200gmX20pkt,2022-11-01,200.0,200.0
BSF002,BEEF- BEEF STIR FRY (BUTHER'S RIDGE) 200gm,2022-10-01,80.0,100.0
BSF002,BEEF- BEEF STIR FRY (BUTHER'S RIDGE) 200gm,2022-11-01,330.0,100.0
BSF002,BEEF- BEEF STIR FRY (BUTHER'S RIDGE) 200gm,2022-12-01,1440.0,200.0
BSH004,BEEF SHIN/SHANK (QUALITY BEEF-BRAZIL),2022-10-01,1970.35,0.0
BSH004,BEEF SHIN/SHANK (QUALITY BEEF-BRAZIL),2022-11-01,1749.54,419.68
BSH004,BEEF SHIN/SHANK (QUALITY BEEF-BRAZIL),2022-12-01,1982.37,463.775
BSH004-02,BEEF SHIN CUBE  3CM X 3CM X 3CM,2022-11-01,57.2,0.0
BSH004-02,BEEF SHIN CUBE  3CM X 3CM X 3CM,2022-12-01,63.8,0.0
BSL001-03,BEEF STRIPLOIN (MINERVA -SA),2022-10-01,10.2,0.0
BSL001-03,BEEF STRIPLOIN (MINERVA -SA),2022-11-01,9.9,0.0
BSL001-03,BEEF STRIPLOIN (MINERVA -SA),2022-12-01,84.46,23.78
BSL001-05,CHILLED BEEF STRIPLOIN (PS NZ SILVERFERN / AUST MIDFIELD)),2022-10-01,5.0,0.0
BSL001-05,CHILLED BEEF STRIPLOIN (PS NZ SILVERFERN / AUST MIDFIELD)),2022-11-01,10.74,18.98
BSL001-05,CHILLED BEEF STRIPLOIN (PS NZ SILVERFERN / AUST MIDFIELD)),2022-12-01,3.3,0.0
BSP003,BEEF SHORT PLATE BONELESS (USA-IBP),2022-10-01,708.8,371.95000000000005
BSP003,BEEF SHORT PLATE BONELESS (USA-IBP),2022-11-01,779.1,224.115
BSP003,BEEF SHORT PLATE BONELESS (USA-IBP),2022-12-01,1059.6100000000001,300.17
BSP004,BEEF SHORT PLATE BONELESS 2MM 1KG/PKT,2022-10-01,420.0,0.0
BSP004,BEEF SHORT PLATE BONELESS 2MM 1KG/PKT,2022-11-01,414.0,0.0
