pdt_code,pdt_name,current_inv,summary_purchases_date_range,summary_purchases_min_price,summary_purchases_max_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_min_price,summary_sales_max_price
OPA001,,,2023-03-01 - 2023-09-08,18.4,18.4,2023-03-01 - 2023-09-08,2023-09-07,21.0,18.5,24.0
OPA002,,,2023-03-01 - 2023-09-08,3.85,3.85,2023-03-01 - 2023-09-08,2023-09-05,5.0,4.8,5.0
OPC001,,,2023-03-01 - 2023-09-08,35.0,35.0,2023-03-01 - 2023-09-08,2023-09-06,40.0,35.5,45.0
OPC001-02,,,2021-09-01 - 2023-09-08,6.5,7.0,2023-03-01 - 2023-09-08,2023-08-12,7.5,7.5,8.0
OPE002,,,,,,2021-09-01 - 2023-09-08,2022-09-21,12.06,7.55,12.06
OPE003,,,2023-03-01 - 2023-09-08,20.9,21.0,2023-03-01 - 2023-09-08,2023-05-30,30.0,30.0,30.0
OPL001,,,2021-09-01 - 2023-09-08,18.0,18.0,2021-09-01 - 2023-09-08,2022-09-05,23.0,23.0,23.0
OPLANT001,,,2023-03-01 - 2023-09-08,2.3,2.3,2023-03-01 - 2023-09-08,2023-04-10,3.0,3.0,3.0
OPLANT002,,,2021-09-01 - 2023-09-08,2.22,2.3,2023-03-01 - 2023-09-08,2023-08-31,1.2,1.2,1.2
OPLANT003,,,2021-09-01 - 2023-09-08,2.22,2.3,2021-09-01 - 2023-09-08,2022-10-26,3.0,3.0,3.0
OPLANT004,,,2021-09-01 - 2023-09-08,2.22,2.3,2021-09-01 - 2023-09-08,2023-01-07,3.0,3.0,3.0
OPN001,,,2023-03-01 - 2023-09-08,12.8,12.8,2023-03-01 - 2023-09-08,2023-09-01,15.0,14.0,18.0
OPN001-03,,,2021-09-01 - 2023-09-08,4.2,4.2,2021-09-01 - 2023-09-08,2022-01-27,5.8,5.0,6.3
OPN002,,,,,,2021-09-01 - 2023-09-08,2021-11-12,5.0,2.9,5.0
OPO001,,,2023-03-01 - 2023-09-08,7.7,8.8,2023-03-01 - 2023-09-08,2023-07-01,9.5,8.5,14.35
OPO001-02,,,2021-09-01 - 2023-09-08,7.6,8.6,2021-09-01 - 2023-09-08,2022-02-15,8.75,8.0,10.0
OPO001-03,,,2023-03-01 - 2023-09-08,3.95,4.1,2023-03-01 - 2023-09-08,2023-09-01,4.95,4.8,4.95
OPO002,,,2023-03-01 - 2023-09-08,4.65,5.23,2023-03-01 - 2023-09-08,2023-09-06,6.4,3.0,7.9
OPO002-01,,,2021-09-01 - 2023-09-08,17.6,17.6,2021-09-01 - 2023-09-08,2022-09-28,9.66,0.01,21.0
OPO002-02,,,,,,2023-03-01 - 2023-09-08,2023-07-29,1.85,1.85,1.85
