pdt_code,pdt_name,current_inv,summary_purchases_date_range,summary_purchases_min_price,summary_purchases_max_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_max_price
MFL003,MUTTON- LAMB FLAP BONE (WOODWARD) 20KG/CTNS,50.34,2023-02-01 - 2023-08-30,6.76,7.8,2023-02-01 - 2023-08-30,2023-08-12,10.5,14.0
MFL004,MUTTON- LAMB FLAP BONE IN - SWIFT 20KG/CTNS,0.0,2021-08-01 - 2023-08-30,9.0,9.05,2021-08-01 - 2023-08-30,2022-08-10,8.8,8.8
MFL004-02,MUTTON- LAMB FLAP BONE (WOODWARD),0.0,2021-08-01 - 2023-08-30,7.8,9.8,2021-08-01 - 2023-08-30,2023-01-18,10.0,12.8
MFL005,MUTTON- LAMB FLAP BONE IN - RYAN,0.0,2023-02-01 - 2023-08-30,8.5,8.5,2023-02-01 - 2023-08-30,2023-03-17,10.7,10.7
MFL006,MUTTON- LAMB FLAP BONE IN CUT 2INCH,0.0,,,,2023-02-01 - 2023-08-30,2023-07-04,9.9,10.8
MFL006-02,MUTTON- LAMB FLAP BONE IN CUT STEAK 5CM X 2.5CM,0.0,,,,2023-02-01 - 2023-08-30,2023-08-12,10.8,10.8
MFL007,MUTTON- LAMB FLAP BONE IN - KILDARE,4271.38,2023-02-01 - 2023-08-30,7.8,8.0,2023-02-01 - 2023-08-30,2023-08-28,9.98,12.5
MKI002,MUTTON- LAMB/MUTTON KIDNEY 15X1kg/ctns,29.0,2023-02-01 - 2023-08-30,6.9,7.8,2023-02-01 - 2023-08-30,2023-08-23,8.5,10.0
MKI003,MUTTON- LAMB/MUTTON KIDNEY TR-AUST,0.0,2023-02-01 - 2023-08-30,6.9,6.9,2023-02-01 - 2023-08-30,2023-05-17,7.2,7.2
MLB001,MUTTON BONE (TULANG),0.0,2023-02-01 - 2023-08-30,1.25,3.4,2023-02-01 - 2023-08-30,2023-08-08,3.6,4.8
MLI001,MUTTON LIVER,0.0,2023-02-01 - 2023-08-30,4.2,4.2,2023-02-01 - 2023-08-30,2023-03-13,5.3,5.3
MLS001,MUTTON- LAMB FORESHANK (AUST),25.64,2023-02-01 - 2023-08-30,9.9,9.9,2023-02-01 - 2023-08-30,2023-08-11,12.0,12.0
MLS003,MUTTON- LAMB RACK FRENCHED CUT CAP ON,0.0,2021-08-01 - 2023-08-30,30.0,32.0,2021-08-01 - 2023-08-30,2021-12-28,32.5,32.5
MMI001,MUTTON- MINCED MUTTON 2kg/pkt,40.0,2023-02-01 - 2023-08-30,13.5,13.5,2023-02-01 - 2023-08-30,2023-03-07,14.5,14.6
MMI003,MUTTON- MINCED MUTTON 300gmX20pkt (TFP),0.0,2021-08-01 - 2023-08-30,2.8,4.0,2021-08-01 - 2023-08-30,2022-08-04,5.3,5.4
MOF001,MUTTON OFFALS - RUNNER FATT,0.0,2021-08-01 - 2023-08-30,4.5,4.5,2021-08-01 - 2023-08-30,2021-09-06,6.8,6.8
MPL001,MUTTON PLUCK / MUTTON LIVER,10.76,2023-02-01 - 2023-08-30,3.8,6.5,2023-02-01 - 2023-08-30,2023-08-28,7.5,7.8
MRA001,6** LAMB RACK FRENCH CHILLED 3PCS/PKT,0.0,,,,2021-08-01 - 2023-08-30,2022-02-10,17.66,18.0
MRA002,LAMB RACK STANDARD (THOMAS) 1.4CM/PCS,2.0,,,,2021-08-01 - 2023-08-30,2022-02-27,18.3,18.3
MSC001,MUTTON- LAMB SHOULDER CHOP 5kg/pkt,0.0,2021-08-01 - 2023-08-30,11.3,11.3,2021-08-01 - 2023-08-30,2021-09-09,11.8,11.8
MSC002,MUTTON- LAMB LOIN CHOP 5kg/pkt,0.0,,,,2021-08-01 - 2023-08-30,2021-08-27,12.0,12.0
MSC004,MUTTON- LAMB SHOULDER CHOP (TFP) 500gmX20pkt,0.0,2021-08-01 - 2023-08-30,5.3,5.9,2021-08-01 - 2023-08-30,2022-06-28,7.5,7.9
MSC005,MUTTON- LAMB SHOULDER CHOP 19cm 2kg/pkt (HALAL),0.0,2023-02-01 - 2023-08-30,11.7,11.7,2023-02-01 - 2023-08-30,2023-08-29,13.0,13.5
MSC006,MUTTON- LAMB SHOULDER CHOP 19cm 2kg/pkt,0.0,2021-08-01 - 2023-08-30,11.3,11.7,2021-08-01 - 2023-08-30,2022-12-09,15.0,15.0
