pdt_code,pdt_name,current_inv,purchases_data_date_range,purchases_min_price,purchases_max_price,sales_data_date_range,latest_sales_date,latest_sales_price,sales_min_price,sales_max_price
PRIB01-14,PORK MEALTY RIBLETS (ALEGRA) 20kg/ctn,4223.0,2023-04-01 - 2023-10-03,3.51,3.51,2023-04-01 - 2023-10-03,2023-09-11,5.1,3.6,5.5
PRIB05,PORK RIBLETS CUBE 5KGX2PKT/CTNS,4211.0,,,,2023-04-01 - 2023-10-03,2023-10-03,3.79,2.8,4.5
PRIB05-01,HOUSE BRAND:PORK RIBLETS 2-3INCH (BAK KUT TEH) (UF) 500GMX20PKT,5.0,,,,2023-04-01 - 2023-10-03,2023-10-03,5.3,4.68,6.42
PRIB05-02,"PORK MEATY RIBLETS CUT 3"" 5KGX2PKT/CTNS",0.0,,,,2023-04-01 - 2023-10-03,2023-09-30,6.0,5.0,6.0
PRIB05-03,PORK RIBLETS CUT 1 INCH 5KGX2PKT/CTNS,0.0,,,,2021-10-01 - 2023-10-03,2023-02-18,7.0,7.0,7.0
PRIB05-04,PORK- SPARERIB CUT 1 '' X 1.5 '' 5KGX2PKT/CTNS,31.7,,,,2023-04-01 - 2023-10-03,2023-10-02,6.2,5.7,7.2
PRIB06,PORK- SPARERIB CUT 1 '' X 1 '' 5KGX2PKT/CTNS,270.0,,,,2023-04-01 - 2023-10-03,2023-09-30,6.5,5.5,6.5
PRIB07,PORK RIBLETS CUT WITH 2 RIBLETS,70.0,,,,2023-04-01 - 2023-10-03,2023-10-03,5.7,5.7,5.7
PRIB07-02,PORK RIBLETS CUT 2-2 1/2' INCH 5KGX2PKT/CTNS,0.0,,,,2021-10-01 - 2023-10-03,2022-05-28,5.5,4.0,5.5
PRIB08,PORK MEATY RIBLETS CUT 2-2 1/2' 5kgX2pkt,1290.0,,,,2023-04-01 - 2023-10-03,2023-10-03,5.79,4.7,7.0
PRIB09,PORK RIBLETS CUT 3 INCH 5KGX2PKT/CTNS,0.0,,,,2023-04-01 - 2023-10-03,2023-05-09,5.5,5.5,5.5
PRIB11,PORK RIBLETS CUT 4',0.0,,,,2021-10-01 - 2023-10-03,2023-03-21,4.7,4.7,5.0
PRIB12,SPARERIB CUT (SAI),0.0,,,,2021-10-01 - 2023-10-03,2022-04-28,6.0,6.0,6.5
PRIB16,PORK PRIME RIB (KURO) 500gmX20pkt,12.0,2023-04-01 - 2023-10-03,6.1,6.2,2023-04-01 - 2023-10-03,2023-09-22,8.0,8.0,8.2
PS-01,PORK LEG SLICED A 2kgX5pkt,370.0,,,,2023-04-01 - 2023-10-03,2023-10-03,5.0,5.0,5.6
PS-02,PORK LEG SLICED 2KGX6PKT/CTNS,4565.0,,,,2023-04-01 - 2023-10-03,2023-10-03,5.18,4.0,5.7
PS-03,PORK SHOULDER SLICED 5mm -6mm 2kg/pkt,0.0,,,,2021-10-01 - 2023-10-03,2022-12-12,6.0,5.0,6.0
